branch,hospital-types,age-group-code,age-group-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,1,poniżej 1,0,0.0,0,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
,,2,1 - 6,6,0.11,7,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
,,3,7 - 17,17,0.31,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
,,4,18 - 40,719,13.31,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
,,5,41 - 60,1394,25.8,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
,,6,61 - 80,2196,40.64,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
,,7,81 i więcej,1071,19.82,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
,,8,brak danych,0,0.0,0,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
,,1,poniżej 1,0,0.0,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
,,2,1 - 6,0,0.0,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
,,3,7 - 17,3,0.94,3,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
,,4,18 - 40,120,37.5,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
,,5,41 - 60,120,37.5,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
,,6,61 - 80,68,21.25,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
,,7,81 i więcej,9,2.81,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
,,8,brak danych,0,0.0,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
,,1,poniżej 1,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
,,2,1 - 6,14,3.19,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
,,3,7 - 17,45,10.25,3,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
,,4,18 - 40,55,12.53,3,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
,,5,41 - 60,128,29.16,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
,,6,61 - 80,197,44.87,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
,,7,81 i więcej,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
,,8,brak danych,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
,,1,poniżej 1,0,0.0,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
,,2,1 - 6,0,0.0,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
,,3,7 - 17,2,0.27,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
,,4,18 - 40,87,11.87,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
,,5,41 - 60,259,35.33,3,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
,,6,61 - 80,373,50.89,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
,,7,81 i więcej,12,1.64,3,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
,,8,brak danych,0,0.0,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
,,1,poniżej 1,1,0.01,7,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,2,1 - 6,4,0.05,12,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,3,7 - 17,25,0.33,7,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,4,18 - 40,1287,16.77,9,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,5,41 - 60,2907,37.89,9,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,6,61 - 80,3276,42.7,9,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,7,81 i więcej,173,2.25,10,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,8,brak danych,0,0.0,0,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,1,poniżej 1,9,0.19,13,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,2,1 - 6,8,0.17,4,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,3,7 - 17,28,0.6,7,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,4,18 - 40,730,15.68,8,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,5,41 - 60,1522,32.7,9,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,6,61 - 80,2175,46.72,9,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,7,81 i więcej,183,3.93,10,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,8,brak danych,0,0.0,0,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,1,poniżej 1,2,0.14,8,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,2,1 - 6,1,0.07,59,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,3,7 - 17,12,0.81,3,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,4,18 - 40,251,16.98,5,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,5,41 - 60,504,34.1,3,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,6,61 - 80,592,40.05,3,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,7,81 i więcej,116,7.85,3,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,8,brak danych,0,0.0,0,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,1,poniżej 1,1,0.23,5,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,2,1 - 6,9,2.1,3,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,3,7 - 17,16,3.74,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,4,18 - 40,89,20.79,1,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,5,41 - 60,161,37.62,1,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,6,61 - 80,135,31.54,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,7,81 i więcej,17,3.97,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,8,brak danych,0,0.0,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,1,poniżej 1,5,0.04,7,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2019,2019
,,2,1 - 6,66,0.52,7,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2019,2019
,,3,7 - 17,135,1.05,6,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2019,2019
,,4,18 - 40,3243,25.32,4,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2019,2019
,,5,41 - 60,5254,41.03,5,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2019,2019
,,6,61 - 80,3899,30.45,6,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2019,2019
