branch,hospital-types,type-of-admission-code,type-of-admission-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,2,przyjęcie w trybie nagłym w wyniku przekazania przez zespół ratownictwa medycznego,2136,45.06,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,3,przyjęcie w trybie nagłym - inne przypadki,2061,43.48,7,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,5,przyjęcie noworodka w wyniku porodu w tym szpitalu,1,0.02,20,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,6,przyjęcie planowe na podstawie skierowania,294,6.2,6,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,8,przeniesienie z innego szpitala,246,5.19,7,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,9,przyjęcie osoby podlegającej obowiązkowemu leczeniu,2,0.04,4,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,2,przyjęcie w trybie nagłym w wyniku przekazania przez zespół ratownictwa medycznego,58,21.8,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,3,przyjęcie w trybie nagłym - inne przypadki,80,30.08,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,6,przyjęcie planowe na podstawie skierowania,123,46.24,6,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,8,przeniesienie z innego szpitala,5,1.88,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,2,przyjęcie w trybie nagłym w wyniku przekazania przez zespół ratownictwa medycznego,1,0.19,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
,,3,przyjęcie w trybie nagłym - inne przypadki,12,2.32,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
