branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,4464,4598,1.03,0.07,1.28,8,4,,,,,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2024,2024
,,264,273,1.03,0.0,0.08,7,4,,,,,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2024,2024
,,442,522,1.18,0.01,0.15,3,2,,,,,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2024,2024
,,1316,1438,1.09,0.02,0.4,2,2,,,,,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2024,2024
,,7744,8002,1.03,0.11,2.22,8,5,,,,,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2024,2024
,,1341,1399,1.04,0.02,0.39,7,5,,,,,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2024,2024
,,3762,3936,1.05,0.06,1.09,7,3,,,,,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2024,2024
,,1159,1203,1.04,0.02,0.33,4,3,,,,,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2024,2024
,,360,375,1.04,0.01,0.1,2,0,,,,,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2024,2024
,,21960,22564,1.03,0.32,6.27,3,3,,,,,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2024,2024
,,1635,1669,1.02,0.02,0.46,3,3,,,,,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2024,2024
,,60,61,1.02,0.0,0.02,2,2,,,,,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2024,2024
,,9270,10329,1.11,0.15,2.87,3,3,,,,,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2024,2024
,,2641,2815,1.07,0.04,0.78,0,0,,,,,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2024,2024
,,3288,3554,1.08,0.05,0.99,0,0,,,,,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2024,2024
,,6260,6466,1.03,0.09,1.8,5,3,,,,,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2024,2024
,,6103,6563,1.08,0.09,1.82,4,3,,,,,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2024,2024
,,812,972,1.2,0.01,0.27,6,3,,,,,A32E CHOROBY MIĘŚNI > 65 R.Ż.,1a,2024,2024
,,1189,1617,1.36,0.02,0.45,3,3,,,,,A32F CHOROBY MIĘŚNI < 66 R.Ż.,1a,2024,2024
,,2412,2417,1.0,0.03,0.67,4,3,,,,,A33 ZABURZENIA RÓWNOWAGI,1a,2024,2024
,,3679,4305,1.17,0.06,1.2,2,1,,,,,A34C GUZY MÓZGU I RDZENIA KRĘGOWEGO,1a,2024,2024
,,10482,11159,1.06,0.16,3.1,7,4,,,,,A34D GUZY MÓZGU I RDZENIA KRĘGOWEGO>3 DNI,1a,2024,2024
,,3577,3977,1.11,0.06,1.11,3,0,,,,,A35C CHOROBY ZWYRODNIENIOWE OUN,1a,2024,2024
,,2607,2632,1.01,0.04,0.73,5,4,,,,,A35D CHOROBY ZWYRODNIENIOWE OUN>3 DNI,1a,2024,2024
,,9556,11513,1.2,0.16,3.2,4,3,,,,,A36 CHOROBY DEMIELINIZACYJNE,1a,2024,2024
,,24466,25874,1.06,0.37,7.19,5,3,,,,,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2024,2024
,,4728,4776,1.01,0.07,1.33,5,3,,,,,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2024,2024
,,17890,18031,1.01,0.26,5.01,5,4,,,,,A47 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU - ROZSZERZONA DIAGNOSTYKA,1a,2024,2024
,,64160,65809,1.03,0.93,18.29,9,8,,,,,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2024,2024
,,50,50,1.0,0.0,0.01,6,5,,,,,A48T KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 3 DNI < 8 DNI W ODDZIALE UDAROWYM,1a,2024,2024
,,8391,8435,1.01,0.12,2.34,7,4,,,,,A49 UDAR MÓZGU - LECZENIE > 3 DNI,1a,2024,2024
,,9321,9769,1.05,0.14,2.72,2,0,,,,,A50 UDAR MÓZGU - LECZENIE,1a,2024,2024
,,1383,1475,1.07,0.02,0.41,4,0,,,,,A56 CHOROBY NERWÓW CZASZKOWYCH,1a,2024,2024
,,6620,7754,1.17,0.11,2.16,9,3,,,,,A57 CHOROBY ZAPALNE UKŁADU NERWOWEGO,1a,2024,2024
,,479,714,1.49,0.01,0.2,7,3,,,,,A57A BAKTERYJNE ROPNIE UKŁADU NERWOWEGO,1a,2024,2024
,,224,224,1.0,0.0,0.06,9,3,,,,,A58 ENCEFALOPATIA,1a,2024,2024
,,6569,6629,1.01,0.09,1.84,3,3,,,,,A59 BÓLE GŁOWY,1a,2024,2024
,,4139,4445,1.07,0.06,1.24,4,3,,,,,A66 PADACZKA - DIAGNOSTYKA I LECZENIE,1a,2024,2024
,,7008,7234,1.03,0.1,2.01,6,4,,,,,A67 PADACZKA - DIAGNOSTYKA I LECZENIE > 3 DNI,1a,2024,2024
,,4965,5029,1.01,0.07,1.4,4,3,,,,,A76 URAZY GŁOWY Z ISTOTNYM USZKODZENIEM MÓZGU LECZONE ZACHOWAWCZO,1a,2024,2024
,,3545,3569,1.01,0.05,0.99,1,1,,,,,A77 URAZY GŁOWY BEZ ISTOTNEGO USZKODZENIA MÓZGU LECZONE ZACHOWAWCZO,1a,2024,2024
,,1258,1645,1.31,0.02,0.46,3,0,,,,,A86 CHOROBY NEURONU RUCHOWEGO,1a,2024,2024
,,71013,73949,1.04,1.05,20.55,4,3,,,,,A87 INNE CHOROBY UKŁADU NERWOWEGO,1a,2024,2024
,,44,44,1.0,0.0,0.01,0,0,,,,,B03 LECZENIE WERTEPORFINĄ PRZY ZASTOSOWANIU TERAPII FOTODYNAMICZNEJ,1a,2024,2024
,,133,133,1.0,0.0,0.03,4,4,,,,,B04 PRZESZCZEP ROGÓWKI - KATEGORIA I *,1a,2024,2024
,,1277,1387,1.09,0.02,0.26,3,3,,,,,B05 PRZESZCZEP ROGÓWKI - KATEGORIA II *,1a,2024,2024
,,24,24,1.0,0.0,0.0,3,2,,,,,B06 PRZESZCZEP ROGÓWKI - KATEGORIA III *,1a,2024,2024
,,2836,3397,1.2,0.05,0.64,0,0,,,,,B11 KOMPLEKSOWE ZABIEGI W ZAĆMIE I JASKRZE *,1a,2024,2024
,,9660,11472,1.19,0.16,2.16,1,2,,,,,"B16 ZABIEGI Z WYKONANIEM WITREKTOMII Z UŻYCIEM OLEJU SILIKONOWEGO LUB DEKALINY, W TYM WIELOPROCEDURALNE *",1a,2024,2024
,,3598,3655,1.02,0.05,0.69,2,2,,,,,"B16G ZABIEGI Z WYKONANIEM FAKOWITREKTOMII Z UŻYCIEM OLEJU SILIKONOWEGO LUB DEKALINY, W TYM WIELOPROCEDURALNE *",1a,2024,2024
,,10705,11435,1.07,0.16,2.15,1,0,,,,,"B17 ZABIEGI Z WYKONANIEM WITREKTOMII, W TYM WIELOPROCEDURALNE *",1a,2024,2024
,,4081,4218,1.03,0.06,0.79,0,0,,,,,"B17G ZABIEGI Z WYKONANIEM FAKOWITREKTOMII, W TYM WIELOPROCEDURALNE *",1a,2024,2024
,,20247,23549,1.16,0.33,4.44,0,0,,,,,B18G USUNIĘCIE ZAĆMY - KATEGORIA I *,1a,2024,2024
,,247699,326660,1.32,4.64,61.54,0,0,,,,,B19G USUNIĘCIE ZAĆMY - KATEGORIA II *,1a,2024,2024
,,910,932,1.02,0.01,0.18,0,0,,,,,B23 ŚREDNIE ZABIEGI NA SOCZEWCE *,1a,2024,2024
,,610,618,1.01,0.01,0.12,0,0,,,,,B25 WSZCZEPIENIE WTÓRNE SOCZEWKI *,1a,2024,2024
,,1168,1250,1.07,0.02,0.24,1,0,,,,,B31 DUŻE REKONSTRUKCJE NA APARACIE OCHRONNYM OKA *,1a,2024,2024
,,5337,6202,1.16,0.09,1.17,0,0,,,,,B32 DUŻE ZABIEGI NA APARACIE OCHRONNYM OKA *,1a,2024,2024
,,12257,14562,1.19,0.21,2.74,0,0,,,,,B33 ŚREDNIE ZABIEGI NA APARACIE OCHRONNYM OKA *,1a,2024,2024
,,1156,1193,1.03,0.02,0.22,2,2,,,,,B42 DUŻE ZABIEGI NA OCZODOLE I APARACIE ŁZOWYM *,1a,2024,2024
,,3804,4727,1.24,0.07,0.89,0,0,,,,,B43 ŚREDNIE ZABIEGI NA OCZODOLE I APARACIE ŁZOWYM *,1a,2024,2024
,,1988,2338,1.18,0.03,0.44,0,0,,,,,B52 DUŻE ZABIEGI NA ROGÓWCE I TWARDÓWCE *,1a,2024,2024
,,1568,1645,1.05,0.02,0.31,0,0,,,,,B53 ŚREDNIE ZABIEGI NA ROGÓWCE I TWARDÓWCE *,1a,2024,2024
,,3103,3193,1.03,0.05,0.6,1,0,,,,,B63 ZABIEGI W ZAKRESIE MIĘŚNI OKORUCHOWYCH *,1a,2024,2024
,,4742,5814,1.23,0.08,1.1,1,0,,,,,B72 DUŻE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2024,2024
,,3193,3758,1.18,0.05,0.71,0,0,,,,,B73 ŚREDNIE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2024,2024
,,507,548,1.08,0.01,0.1,0,0,,,,,B74 MAŁE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2024,2024
,,576,587,1.02,0.01,0.11,2,2,,,,,B81 DUŻE ZABIEGI NA SIATKÓWCE *,1a,2024,2024
,,23,23,1.0,0.0,0.0,1,0,,,,,B83 ŚREDNIE ZABIEGI WITREORETINALNE *,1a,2024,2024
,,31572,81579,2.58,1.16,15.37,0,0,,,,,B84 MAŁE ZABIEGI WITREORETINALNE *,1a,2024,2024
,,5450,5760,1.06,0.08,1.09,0,0,,,,,B94 INNE PROCEDURY W ZAKRESIE OKA *,1a,2024,2024
,,9165,10076,1.1,0.14,1.9,3,0,,,,,B98A LECZENIE ZACHOWAWCZE OKULISTYCZNE > 17 R.Ż.,1a,2024,2024
,,1605,1610,1.0,0.02,0.72,14,14,,,,,"C01 ROZLEGŁE OPERACJE NOWOTWORÓW JAMY USTNEJ, GARDŁA I KRTANI Z REKONSTRUKCJĄ *",1a,2024,2024
,,1202,1227,1.02,0.02,0.54,4,4,,,,,C05G LECZENIE ZABURZEŃ SŁUCHU ZA POMOCĄ IMPLANTÓW ŚLIMAKOWYCH *,1a,2024,2024
,,1,1,1.0,0.0,0.0,29,29,,,,,C05H LECZENIE ZABURZEŃ SŁUCHU ZA POMOCĄ IMPLANTÓW PNIOWYCH*,1a,2024,2024
,,211,218,1.03,0.0,0.1,3,3,,,,,C06G LECZENIE ZABURZEŃ SŁUCHU ZA POMOCĄ IMPLANTÓW UCHA ŚRODKOWEGO *,1a,2024,2024
,,190,194,1.02,0.0,0.09,3,3,,,,,C06H LECZENIE ZABURZEŃ SŁUCHU ZA POMOCĄ INNYCH WSZCZEPIALNYCH ELEKTRONICZNYCH PROTEZ SŁUCHU *,1a,2024,2024
,,1506,1547,1.03,0.02,0.69,0,0,,,,,C07G WYMIANA PROCESORA MOWY IMPLANTÓW ŚLIMAKOWYCH I DO PNIA MÓZGU *,1a,2024,2024
