disease-code,disease-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
S06.5,Urazowy krwotok podtwardówkowy,4286,79.33,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
S06.4,Krwotok nadtwardówkowy,513,9.49,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
S06.8,Inne urazy śródczaszkowe,163,3.02,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
S06.2,Rozlany uraz mózgu,151,2.79,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
S06.3,Ogniskowy uraz mózgu,111,2.05,16,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
S06.9,"Uraz śródczaszkowy, nie określony",85,1.57,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
T90.5,Następstwa urazu śródczaszkowego,231,72.19,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
S02.0,Złamanie kości sklepienia czaszki,36,11.25,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
S02.1,Złamanie kości podstawy czaszki,17,5.31,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
S09.8,Inne określone urazy głowy,10,3.13,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
S02.7,Wielokrotne złamania kości czaszki i twarzoczaszki,7,2.19,10,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
S09.9,Nieokreślony uraz głowy,7,2.19,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
S02.8,Złamanie innych kości czaszki i twarzoczaszki,5,1.56,4,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
S02.9,"Złamanie kości czaszki i twarzoczaszki, część nie określona",4,1.25,11,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
G20,Choroba Parkinsona,282,64.24,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
G40.8,Inne padaczki,38,8.66,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
G25.0,Drżenie samoistne,21,4.78,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
G24.8,Inne dystonie,15,3.42,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
G24.9,"Dystonia, nie określona",14,3.19,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
G40.9,"Padaczka, nie określona",13,2.96,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
G40.2,Padaczka objawowa (ogniskowa) (częściowa) i zespoły padaczkowe ze złożonymi napadami częściowymi,10,2.28,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
G24.1,Dystonia samoistna rodzinna,8,1.82,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
G40.4,Inne postacie uogólnionej padaczki i zespołów padaczkowych,7,1.59,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
G40.3,Uogólniona samoistna padaczka i zespoły padaczkowe,6,1.37,3,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
G22,Parkinsonizm w chorobach sklasyfikowanych gdzie indziej,5,1.14,3,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
G20,Choroba Parkinsona,304,41.47,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
G54.5,Nerwoból z zanikiem mięśni,259,35.33,3,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
G24.9,"Dystonia, nie określona",35,4.77,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
G54.6,Zespół bólu fantomowego kończyny z bólem,22,3.0,6,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
G24.8,Inne dystonie,14,1.91,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
G24.3,Kurczowy kręcz karku,9,1.23,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
G55.1,Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w zaburzeniach krążka międzykręgowego (M50-M51+),24,3.27,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
