procedure-code,procedure-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
01.247,Kraniotomia z usunięciem krwiaka podtwardówkowego,2650,48.03,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
87.031,TK głowy bez i ze wzmocnieniem kontrastowym,1789,32.43,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
01.243,Trepanacja czaszki,1439,26.08,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.00,"Porada lekarska, konsultacja, asysta",1434,25.99,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.04,Opieka pielęgniarki lub położnej,1161,21.04,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
01.245,Kraniotomia z usunięciem krwiaka nadtwardówkowego,852,15.44,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.61,Monitorowanie systemowego ciśnienia tętniczego,746,13.52,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
100.01,Znieczulenie ogólne dotchawicze z monitorowaniem rozszerzonym (do 2 godzin),722,13.09,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
100.02,Znieczulenie ogólne dotchawicze z monitorowaniem rozszerzonym (od 2 do 4 godzin),703,12.74,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
87.441,RTG płuc - inne,688,12.47,14,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
99.18,Wstrzyknięcie/ infuzja elektrolitów,677,12.27,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
99.04,Przetoczenie koncentratu krwinek czerwonych,585,10.6,14,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
87.04,Tomografia głowy i/ lub szyi - inne,563,10.2,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
87.03,Komputerowa tomografia głowy i/ lub szyi,534,9.68,13,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.602,Pulsoksymetria,481,8.72,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.540,Monitorowanie podstawowych funkcji życiowych,394,7.14,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
93.57,Założenie opatrunku na ranę - inne,384,6.96,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.62,Monitorowanie centralnego ciśnienia żylnego,363,6.58,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
38.93,Cewnikowanie żył - inne,345,6.25,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
99.07,Przetoczenie osocza - inne,327,5.93,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
96.55,Toaleta drzewa oskrzelowego,323,5.85,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
99.218,Podanie antybiotyku dożylnie lub we wlewie,318,5.76,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.522,Elektrokardiografia z 12 lub więcej odprowadzeniami (z opisem),313,5.67,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
38.99,Nakłucie żyły - inne,272,4.93,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
93.964,Tlenoterapia,268,4.86,15,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
96.782,Ciągła mechaniczna wentylacja trwająca 96 lub więcej godzin,264,4.79,21,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.13,Badanie neurologiczne,255,4.62,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
99.1,Wstrzyknięcie lub wlew substancji leczniczej lub profilaktycznej,237,4.3,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.65,Gazometria krwi tętniczej,217,3.93,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
87.44,Rutynowe zdjęcie RTG klatki piersiowej,215,3.9,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.549,Monitorowanie elektrokardiograficzne - inne,209,3.79,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
100.62,Założenie cewnika do żyły centralnej,209,3.79,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.7,Badanie fizykalne,204,3.7,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
38.91,Cewnikowanie tętnic,202,3.66,13,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.52,Elektrokardiogram,195,3.53,7,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
96.781,Ciągła mechaniczna wentylacja trwająca mniej niż 96 godzin,190,3.44,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
93.95,Oksygenacja hiperbaryczna,189,3.43,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
57.94,Wprowadzenie na stałe cewnika do pęcherza moczowego,174,3.15,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.521,Elektrokardiografia nieokreślona,173,3.14,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
31.1,Tracheostomia czasowa,161,2.92,34,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.511,Elektrokardiografia z 1-3 odprowadzeniami,148,2.68,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
01.092,Aspiracja przestrzeni podtwardówkowej,143,2.59,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
96.04,Intubacja dotchawicza,131,2.37,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
01.248,Kraniotomia z usunięciem krwiaka śródmózgowego,123,2.23,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
93.92,Inna wentylacja mechaniczna,123,2.23,16,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
93.16,Mobilizacja innych stawów,121,2.19,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.02,"Porada lekarska, inne",118,2.14,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.6,Monitorowanie układu krążenia,116,2.1,7,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
88.38,Tomografia komputerowa - inne,115,2.08,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
01.19,Inne zabiegi diagnostyczne czaszki,114,2.07,3,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
100.61,Założenie cewnika do tętnicy,113,2.05,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
99.87,Żywienie dojelitowe,112,2.03,21,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
23.0105,Konsultacja specjalistyczna,110,1.99,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
87.032,TK głowy bez wzmocnienia kontrastowego i co najmniej dwie fazy ze wzmocnieniem kontrastowym,110,1.99,19,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.541,Monitorowanie czynności serca przy pomocy urządzeń analogowych (typu Holter),108,1.96,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
87.41,Komputerowa tomografia (TK) klatki piersiowej,106,1.92,24,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
96.07,Wprowadzenie innej sondy do żołądka (nosowo-żołądkowej) w celu odbarczenia żołądka,105,1.9,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
99.210,Wstrzyknięcie antybiotyku nieokreślone,95,1.72,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
93.13,Usprawnianie czynne z oporem,94,1.7,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.51,Elektrokardiogram (ocena rytmu serca),92,1.67,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
93.91,Oddychanie z przerywanym ciśnieniem dodatnim (IPPB),88,1.6,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
97.38,Usunięcie szwów z głowy lub szyi,84,1.52,13,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
96.35,Podawanie substancji odżywczych do żołądka przez sondę,79,1.43,23,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
93.12,Usprawnianie czynne,78,1.41,25,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
99.297,24-godzinny dożylny wlew - innych leków inotropowo dodatnich,75,1.36,14,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
87.033,TK tętnic głowy i szyi,73,1.32,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
99.219,Wstrzyknięcie antybiotyku - inne,73,1.32,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
01.244,Kraniotomia z usunięciem ropnia nadtwardówkowego,72,1.31,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.63,Monitorowanie ciśnienia w tętnicy płucnej,69,1.25,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
38.98,Nakłucie tętnicy - inne,67,1.21,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
01.23,Powtórne otwarcie w miejscu kraniotomii,67,1.21,14,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.601,Ciągłe monitorowanie gazometrii krwi tętniczej za pomocą czujnika dotętniczego,66,1.2,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
89.54,Monitorowanie elektrokardiograficzne,63,1.14,16,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
88.74,Diagnostyka ultrasonograficzna przewodu pokarmowego,63,1.14,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
99.153,Całkowite żywienie pozajelitowe,62,1.12,21,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
96.72,Wymuszona przerywana wentylacja (IMV),62,1.12,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
88.769,USG brzucha - inne,61,1.11,13,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
99.17,Wstrzyknięcie insuliny,61,1.11,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
87.171,RTG czaszki w projekcji bocznej,60,1.09,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
93.89,Rehabilitacja - inne,60,1.09,13,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
96.14,Tamponada pochwy,59,1.07,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
93.11,Usprawnianie z udziałem fizjoterapeuty,58,1.05,23,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
02.051,Założenie płytki sztucznej do czaszki,145,24.62,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
02.022,Odbarczenie złamania czaszki,68,11.54,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
01.247,Kraniotomia z usunięciem krwiaka podtwardówkowego,60,10.19,14,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
02.021,Chirurgiczne opracowanie złożonego złamania czaszki,47,7.98,10,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
02.061,Operacja odtwórcza czaszki - nieokreślona inaczej,47,7.98,10,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
01.243,Trepanacja czaszki,40,6.79,12,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
02.121,Zamknięcie przetoki płynowej opon mózgowych,36,6.11,11,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
01.093,Inne aspiracje w zakresie czaszki,32,5.43,3,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
01.251,Oczyszczenie czaszki,22,3.74,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
02.023,Nastawienie złamania czaszki,20,3.4,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
01.245,Kraniotomia z usunięciem krwiaka nadtwardówkowego,18,3.06,11,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
01.19,Inne zabiegi diagnostyczne czaszki,12,2.04,5,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
02.04,Przeszczep kostny do kości czaszki,10,1.7,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
01.23,Powtórne otwarcie w miejscu kraniotomii,8,1.36,13,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
02.07,Usunięcie płytki (sztucznej) z czaszki,6,1.02,11,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
01.252,Usunięcie martwaka czaszki,6,1.02,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
87.031,TK głowy bez i ze wzmocnieniem kontrastowym,203,34.47,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
89.00,"Porada lekarska, konsultacja, asysta",144,24.45,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
89.04,Opieka pielęgniarki lub położnej,125,21.22,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
100.02,Znieczulenie ogólne dotchawicze z monitorowaniem rozszerzonym (od 2 do 4 godzin),112,19.02,11,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
87.441,RTG płuc - inne,88,14.94,12,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
99.18,Wstrzyknięcie/ infuzja elektrolitów,79,13.41,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
100.01,Znieczulenie ogólne dotchawicze z monitorowaniem rozszerzonym (do 2 godzin),71,12.05,10,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
89.61,Monitorowanie systemowego ciśnienia tętniczego,55,9.34,15,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
99.04,Przetoczenie koncentratu krwinek czerwonych,52,8.83,26,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
93.57,Założenie opatrunku na ranę - inne,49,8.32,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
87.04,Tomografia głowy i/ lub szyi - inne,42,7.13,12,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
87.03,Komputerowa tomografia głowy i/ lub szyi,39,6.62,12,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
89.602,Pulsoksymetria,33,5.6,17,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
99.218,Podanie antybiotyku dożylnie lub we wlewie,32,5.43,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
87.171,RTG czaszki w projekcji bocznej,30,5.09,5,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
