branch,hospital-types,type-of-discharge-code,type-of-discharge-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,1,zakończenie procesu terapeutycznego lub diagnostycznego,1172,21.6,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,2,skierowanie do dalszego leczenia w lecznictwie ambulatoryjnym,1877,34.59,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,3,skierowanie do dalszego leczenia w innym szpitalu,1025,18.89,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,4,skierowanie do dalszego leczenia w innym niż szpital zakładzie opieki stacjonarnej,89,1.64,34,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,5,skierowanie do dalszego leczenia - inne przypadki,80,1.47,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,6,wypisanie na własne żądanie,28,0.52,7,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,7,osoba leczona samowolnie opuściła zakład opieki stacjonarnej przed zakończeniem procesu terapeutycznego lub diagnostycznego,2,0.04,61,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,8,wypisanie na podstawie art. 22 ust. 1 pkt 3 ustawy z dnia 30 sierpnia 1991 r. o zakładach opieki zdrowotnej,0,0.0,0,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,9,zgon pacjenta,1153,21.25,6,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,1,zakończenie procesu terapeutycznego lub diagnostycznego,167,27.69,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,2,skierowanie do dalszego leczenia w lecznictwie ambulatoryjnym,338,56.05,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,3,skierowanie do dalszego leczenia w innym szpitalu,50,8.29,13,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,4,skierowanie do dalszego leczenia w innym niż szpital zakładzie opieki stacjonarnej,7,1.16,41,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,5,skierowanie do dalszego leczenia - inne przypadki,13,2.16,16,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,6,wypisanie na własne żądanie,4,0.66,3,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
