disease-code,disease-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
S06.5,Urazowy krwotok podtwardówkowy,3950,72.8,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
S06.4,Krwotok nadtwardówkowy,788,14.52,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
S06.0,Wstrząśnienie,291,5.36,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
S06.2,Rozlany uraz mózgu,277,5.11,16,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
S06.8,Inne urazy śródczaszkowe,258,4.75,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
S06.3,Ogniskowy uraz mózgu,246,4.53,14,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
S06.9,"Uraz śródczaszkowy, nie określony",203,3.74,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
S06.1,Urazowy obrzęk mózgu,79,1.46,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
S06.7,Uraz śródczaszkowy z długotrwałym okresem nieprzytomności,59,1.09,20,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
T90.5,Następstwa urazu śródczaszkowego,296,49.09,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
S02.0,Złamanie kości sklepienia czaszki,130,21.56,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
S02.1,Złamanie kości podstawy czaszki,74,12.27,11,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
S09.8,Inne określone urazy głowy,52,8.62,4,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
S02.7,Wielokrotne złamania kości czaszki i twarzoczaszki,26,4.31,14,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
S09.9,Nieokreślony uraz głowy,20,3.32,11,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
S02.8,Złamanie innych kości czaszki i twarzoczaszki,13,2.16,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
S07.1,Uraz zmiażdżeniowy czaszki,11,1.82,12,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
S09.7,Liczne urazy głowy,6,1.0,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
G20,Choroba Parkinsona,167,74.89,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2010,2010
G24.8,Inne dystonie,11,4.93,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2010,2010
G23.0,Choroba Hellervordena-Spatza,10,4.48,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2010,2010
G25.8,Inne określone zaburzenia pozapiramidowe i zaburzenia czynności ruchowych,10,4.48,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2010,2010
G24.9,"Dystonia, nie określona",7,3.14,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2010,2010
G25.0,Drżenie samoistne,6,2.69,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2010,2010
G25.9,"Zaburzenia pozapiramidowe i zaburzenia czynności ruchowych, nie określone",4,1.79,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2010,2010
G25.2,Inne określone formy drżenia,3,1.35,7,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2010,2010
G54.5,Nerwoból z zanikiem mięśni,83,50.0,7,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2010,2010
G54.6,Zespół bólu fantomowego kończyny z bólem,12,7.23,10,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2010,2010
G20,Choroba Parkinsona,9,5.42,3,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2010,2010
G25.9,"Zaburzenia pozapiramidowe i zaburzenia czynności ruchowych, nie określone",6,3.61,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2010,2010
G24.9,"Dystonia, nie określona",5,3.01,1,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2010,2010
G24.3,Kurczowy kręcz karku,3,1.81,12,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2010,2010
G25.8,Inne określone zaburzenia pozapiramidowe i zaburzenia czynności ruchowych,3,1.81,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2010,2010
G23.8,Inne określone choroby zwyrodnieniowe jąder podstawy,2,1.2,4,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2010,2010
G55.2,Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w zmianach zwyrodnieniowych kręgów (M47.-+),19,11.45,8,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2010,2010
G55.3,"Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w innych (dolegliwościach kręgosłupa) dorsopatiach (M45-M46, M48.-+, M53-M5",16,9.64,6,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2010,2010
G55.1,Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w zaburzeniach krążka międzykręgowego (M50-M51+),12,7.23,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2010,2010
G55.8,Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w innych chorobach sklasyfikowanych gdzie indziej,11,6.63,7,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2010,2010
G22,Parkinsonizm w chorobach sklasyfikowanych gdzie indziej,2,1.2,5,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2010,2010
G56.1,Inne uszkodzenia nerwu pośrodkowego,2142,43.96,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2010,2010
G56.2,Uszkodzenie nerwu łokciowego,845,17.34,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2010,2010
G56.8,Inne mononeuropatie kończyny górnej,535,10.98,0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2010,2010
G54.4,Zaburzenia korzeni nerwów rdzeniowych lędźwiowo-krzyżowych niesklasyfikowanych gdzie indziej,177,3.63,1,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2010,2010
G56.9,Mononeuropatie kończyny górnej nie określone,164,3.37,1,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2010,2010
S64.1,Uraz nerwu pośrodkowego na poziomie nadgarstka i ręki,78,1.6,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2010,2010
G54.0,Zaburzenia splotu ramiennego,77,1.58,14,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2010,2010
S64.4,Uraz nerwu innego palca,72,1.48,1,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2010,2010
G56.3,Uszkodzenie nerwu promieniowego,66,1.35,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2010,2010
T11.3,"Uraz nieokreślonego nerwu kończyny górnej, poziom nieokreślony",58,1.19,3,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2010,2010
M79.2,"Nerwoból [neuralgia] i zapalenie nerwów, nie określone",49,1.01,3,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2010,2010
G62.9,"Polineuropatia, nie określona",700,31.57,8,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G62.8,Inne określone polineuropatie,525,23.68,9,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G70.0,Miastenia ciężka rzekomoporaźna,351,15.83,9,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G61.0,Zespół Gullaina-Barrego,200,9.02,17,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G72.9,"Miopatia, nie określona",97,4.38,8,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G71.0,Dystrofia mięśniowa,70,3.16,6,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G71.9,"Pierwotne zaburzenia mięśni, nie określone",41,1.85,7,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G71.2,Miopatie wrodzone,37,1.67,8,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G72.8,Inne określone miopatie,37,1.67,9,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G71.8,Inne pierwotne zaburzenia mięśni,33,1.49,10,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G61.9,"Polineuropatia zakaźna, nie określona",32,1.44,13,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G61.8,Inne polineuropatie zakaźne,30,1.35,18,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G62.0,Polineuropatia wywołana przez leki,28,1.26,12,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G62.2,Polineuropatia wywołana innymi czynnikami toksycznymi,28,1.26,9,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G71.3,Miopatia mitochondrialna niesklasyfikowana gdzie indziej,24,1.08,9,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
G54.4,Zaburzenia korzeni nerwów rdzeniowych lędźwiowo-krzyżowych niesklasyfikowanych gdzie indziej,4535,29.54,7,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
G54.2,Zaburzenia korzeni nerwów rdzeniowych szyjnych niesklasyfikowanych gdzie indziej,1220,7.95,6,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
G54.9,"Zaburzenia korzeni nerwów rdzeniowych i splotów nerwowych, nie określone",1137,7.41,5,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
G54.1,Zaburzenia splotu lędźwiowo-krzyżowego,1056,6.88,7,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
G54.8,Inne zaburzenia korzeni nerwów rdzeniowych i splotów nerwowych,818,5.33,7,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
G62.9,"Polineuropatia, nie określona",786,5.12,7,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
G54.3,Zaburzenia korzeni nerwów rdzeniowych piersiowych niesklasyfikowanych gdzie indziej,782,5.09,4,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
G62.8,Inne określone polineuropatie,772,5.03,6,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
G54.0,Zaburzenia splotu ramiennego,696,4.53,7,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
M79.2,"Nerwoból [neuralgia] i zapalenie nerwów, nie określone",358,2.33,4,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
G57.3,Uszkodzenie nerwu strzałkowego wspólnego,289,1.88,6,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
G61.0,Zespół Gullaina-Barrego,284,1.85,16,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
G56.1,Inne uszkodzenia nerwu pośrodkowego,254,1.65,2,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
G58.0,Neuropatia międzyżebrowa,217,1.41,4,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
G56.2,Uszkodzenie nerwu łokciowego,191,1.24,5,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
E11.4,Cukrzyca insulinoniezależna (z powikłaniami neurologicznymi),188,1.22,7,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
G73.6,Miopatia w chorobach metabolicznych,22,1.07,0,A32 CHOROBY MIĘŚNI,1a,2010,2010
G70.0,Miastenia ciężka rzekomoporaźna,1009,49.05,7,A32 CHOROBY MIĘŚNI,1a,2010,2010
G72.9,"Miopatia, nie określona",305,14.83,6,A32 CHOROBY MIĘŚNI,1a,2010,2010
G71.0,Dystrofia mięśniowa,205,9.97,5,A32 CHOROBY MIĘŚNI,1a,2010,2010
G72.8,Inne określone miopatie,104,5.06,6,A32 CHOROBY MIĘŚNI,1a,2010,2010
