disease-code,disease-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
S06.5,Urazowy krwotok podtwardówkowy,3639,80.33,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2020,2020
S06.4,Krwotok nadtwardówkowy,417,9.21,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2020,2020
S06.2,Rozlany uraz mózgu,143,3.16,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2020,2020
S06.8,Inne urazy śródczaszkowe,120,2.65,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2020,2020
S06.3,Ogniskowy uraz mózgu,87,1.92,15,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2020,2020
S06.9,"Uraz śródczaszkowy, nie określony",62,1.37,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2020,2020
T90.5,Następstwa urazu śródczaszkowego,171,65.02,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2020,2020
S02.0,Złamanie kości sklepienia czaszki,40,15.21,6,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2020,2020
S02.1,Złamanie kości podstawy czaszki,17,6.46,16,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2020,2020
S09.8,Inne określone urazy głowy,10,3.8,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2020,2020
S02.7,Wielokrotne złamania kości czaszki i twarzoczaszki,8,3.04,10,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2020,2020
S09.9,Nieokreślony uraz głowy,6,2.28,18,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2020,2020
S02.8,Złamanie innych kości czaszki i twarzoczaszki,4,1.52,5,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2020,2020
S07.1,Uraz zmiażdżeniowy czaszki,3,1.14,4,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2020,2020
G20,Choroba Parkinsona,235,66.38,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2020,2020
G40.8,Inne padaczki,36,10.17,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2020,2020
G24.9,"Dystonia, nie określona",12,3.39,6,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2020,2020
G25.0,Drżenie samoistne,11,3.11,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2020,2020
