branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,5423,5550,1.02,0.08,1.14,9,7,15005.19,354.6,7641.21,147.07,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
,,610,617,1.01,0.01,0.13,8,8,10123.01,217.66,7203.0,138.63,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
,,216,282,1.31,0.0,0.06,5,4,49022.15,943.42,48844.07,940.0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2012,2012
,,274,299,1.09,0.0,0.06,3,2,32420.42,625.05,32417.77,625.0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2012,2012
,,6980,7193,1.03,0.1,1.47,11,8,18226.39,385.47,15640.8,301.06,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,5554,5883,1.06,0.08,1.2,11,8,13898.75,324.23,10327.64,198.75,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,1612,1691,1.05,0.02,0.35,6,2,8374.77,187.39,6172.78,118.86,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,296,301,1.02,0.0,0.06,2,0,1621.41,31.25,1606.54,30.96,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,13426,13685,1.02,0.19,2.8,7,3,11716.16,244.11,11607.67,223.46,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,3066,3103,1.01,0.04,0.64,7,4,6736.87,133.16,6730.82,129.53,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,9,10,1.11,0.0,0.0,9,10,1608.96,31.0,1608.96,31.0,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,7127,7602,1.07,0.11,1.56,2,0,4781.31,93.29,4770.46,92.59,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,1240,1647,1.33,0.02,0.34,0,0,819.85,15.78,672.89,12.96,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2012,2012
,,2326,2382,1.02,0.03,0.49,8,7,9540.55,209.2,5701.1,109.85,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2012,2012
,,14109,14963,1.06,0.21,3.06,5,2,2906.92,68.11,1522.92,29.33,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2012,2012
,,1745,2130,1.22,0.03,0.44,6,3,6974.48,144.01,3101.98,59.74,A32 CHOROBY MIĘŚNI,1a,2012,2012
,,17676,18074,1.02,0.25,3.7,4,3,1717.67,33.15,1710.64,32.96,A33 ZABURZENIA RÓWNOWAGI,1a,2012,2012
,,14944,17324,1.16,0.24,3.55,6,2,4306.94,88.44,4220.82,81.29,A34 GUZY MÓZGU,1a,2012,2012
,,20115,21400,1.06,0.3,4.38,6,3,3545.41,76.79,3185.18,61.42,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2012,2012
,,11106,15186,1.37,0.21,3.11,4,4,3645.83,82.45,3446.8,66.39,A36 CHOROBY DEMIELINIZACYJNE,1a,2012,2012
