branch,hospital-types,product-category-code,product-category-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,value,value-percentage,name,catalog,year,period
,,6,przetoczenie preparatów krwi i innych substancji,1533,27.53,0,1581287.77,3.19,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
,,5,pobyt w OAiIT,1502,26.98,0,46195963.92,93.12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
,,4,leczenie żywieniowe,161,2.89,0,547036.0,1.1,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
,,0,pozostałe świadczenia,126,2.26,0,365527.69,0.74,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
,,6,przetoczenie preparatów krwi i innych substancji,61,11.13,0,92569.88,5.19,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
,,5,pobyt w OAiIT,51,9.31,0,1656735.08,92.86,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
,,4,leczenie żywieniowe,7,1.28,0,19032.0,1.07,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
,,5,pobyt w OAiIT,1028,13.64,0,21425561.35,92.0,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2014,2014
,,6,przetoczenie preparatów krwi i innych substancji,909,12.07,0,722110.81,3.1,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2014,2014
,,0,pozostałe świadczenia,135,1.79,0,470049.48,2.02,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2014,2014
,,4,leczenie żywieniowe,79,1.05,0,267924.0,1.15,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2014,2014
,,5,pobyt w OAiIT,913,15.85,0,23508800.54,91.96,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2014,2014
,,6,przetoczenie preparatów krwi i innych substancji,651,11.3,0,614809.52,2.4,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2014,2014
,,4,leczenie żywieniowe,100,1.74,0,309858.0,1.21,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2014,2014
