branch,hospital-types,age-group-code,age-group-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,2,1 - 6,0,0.0,0,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,8,brak danych,0,0.0,0,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,1,poniżej 1,2,0.04,17,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,3,7 - 17,11,0.23,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,4,18 - 40,507,10.7,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,5,41 - 60,1055,22.26,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,6,61 - 80,2177,45.93,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,7,81 i więcej,988,20.84,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,1,poniżej 1,0,0.0,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,2,1 - 6,0,0.0,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,8,brak danych,0,0.0,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,3,7 - 17,2,0.75,3,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,4,18 - 40,86,32.33,6,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,5,41 - 60,100,37.59,6,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,6,61 - 80,70,26.32,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,7,81 i więcej,8,3.01,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,1,poniżej 1,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
,,7,81 i więcej,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
,,8,brak danych,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
,,2,1 - 6,9,1.74,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
,,3,7 - 17,60,11.58,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
,,4,18 - 40,77,14.86,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
,,5,41 - 60,144,27.8,3,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
,,6,61 - 80,228,44.02,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
,,1,poniżej 1,0,0.0,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2023,2023
