branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,5524,5642,1.02,0.08,1.26,9,7,17602.39,402.18,7743.35,149.03,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2015,2015
,,503,520,1.03,0.01,0.12,8,8,11576.69,222.79,7081.64,136.35,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2015,2015
,,275,338,1.23,0.0,0.08,4,4,48880.0,940.0,48880.0,940.0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2015,2015
,,430,471,1.1,0.01,0.11,3,2,32492.04,625.0,32492.04,625.0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2015,2015
,,7422,7579,1.02,0.11,1.69,10,8,18274.41,388.3,15594.62,300.17,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,5856,6188,1.06,0.09,1.38,10,8,15191.21,343.24,10329.3,198.84,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,1859,1981,1.07,0.03,0.44,5,2,7893.47,156.05,6149.66,118.43,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,649,668,1.03,0.01,0.15,0,0,1534.6,29.53,1509.54,29.04,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,15748,16084,1.02,0.22,3.59,6,3,11735.61,254.44,11562.3,223.08,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2015,2015
,,2528,2547,1.01,0.04,0.57,5,3,6715.62,131.08,6688.84,128.99,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2015,2015
,,17,18,1.06,0.0,0.0,2,2,1586.0,30.5,1586.0,30.5,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2015,2015
,,8038,8547,1.06,0.12,1.91,2,2,4689.65,91.1,4687.45,90.33,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2015,2015
,,1279,1445,1.13,0.02,0.32,0,0,571.41,11.0,571.41,11.0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2015,2015
,,3653,3730,1.02,0.05,0.83,7,7,8879.65,340.45,5657.36,109.95,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2015,2015
,,14879,15576,1.05,0.22,3.48,5,2,3002.21,107.16,1509.69,29.14,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2015,2015
,,1837,2097,1.14,0.03,0.47,6,2,6957.38,276.43,3112.51,60.09,A32 CHOROBY MIĘŚNI,1a,2015,2015
,,7369,7391,1.0,0.1,1.65,4,3,1663.15,32.39,1660.75,32.0,A33 ZABURZENIA RÓWNOWAGI,1a,2015,2015
,,5294,6005,1.13,0.08,1.34,2,2,1570.58,36.88,1400.37,27.01,A34C GUZY MÓZGU I RDZENIA KRĘGOWEGO,1a,2015,2015
,,11248,12006,1.07,0.17,2.68,8,4,4595.7,92.2,4461.02,86.04,A34D GUZY MÓZGU I RDZENIA KRĘGOWEGO>3 DNI,1a,2015,2015
