disease-code,disease-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
S06.5,Urazowy krwotok podtwardówkowy,4160,74.71,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
S06.4,Krwotok nadtwardówkowy,691,12.41,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
S06.2,Rozlany uraz mózgu,193,3.47,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
S06.3,Ogniskowy uraz mózgu,193,3.47,13,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
S06.8,Inne urazy śródczaszkowe,172,3.09,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
T90.5,Następstwa urazu śródczaszkowego,309,56.39,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
S02.0,Złamanie kości sklepienia czaszki,89,16.24,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
S09.8,Inne określone urazy głowy,42,7.66,6,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
S02.1,Złamanie kości podstawy czaszki,39,7.12,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
S02.7,Wielokrotne złamania kości czaszki i twarzoczaszki,27,4.93,11,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
S02.8,Złamanie innych kości czaszki i twarzoczaszki,8,1.46,5,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
S07.1,Uraz zmiażdżeniowy czaszki,8,1.46,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
S02.6,Złamanie żuchwy,6,1.09,3,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
S02.9,"Złamanie kości czaszki i twarzoczaszki, część nie określona",6,1.09,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
S09.9,Nieokreślony uraz głowy,6,1.09,14,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
