branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,5490,5623,1.02,0.08,1.27,9,7,18028.55,376.41,7867.55,151.57,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2016,2016
,,485,494,1.02,0.01,0.11,8,5,11397.87,231.82,7155.69,138.43,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2016,2016
,,382,457,1.2,0.01,0.1,5,3,49144.59,945.09,49136.7,944.94,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2016,2016
,,558,652,1.17,0.01,0.15,2,2,32265.25,625.02,32264.45,625.0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2016,2016
,,7331,7556,1.03,0.11,1.7,9,8,18649.62,410.63,15671.73,301.82,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2016,2016
,,5741,6054,1.05,0.09,1.36,10,8,15035.34,329.9,10408.0,200.47,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2016,2016
,,1980,2125,1.07,0.03,0.48,5,2,8254.56,176.33,6265.17,120.66,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2016,2016
,,602,618,1.03,0.01,0.14,1,0,1593.47,30.81,1523.14,29.32,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2016,2016
,,16619,16938,1.02,0.24,3.82,5,3,11738.66,249.89,11541.56,223.46,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2016,2016
,,2272,2295,1.01,0.03,0.52,5,3,6936.11,159.66,6665.1,129.03,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2016,2016
