branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,5270,5403,1.03,0.08,1.44,8,7,,,,,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
,,316,320,1.01,0.0,0.09,7,5,,,,,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
,,385,439,1.14,0.01,0.12,4,2,,,,,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
,,656,733,1.12,0.01,0.2,2,2,,,,,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
,,7439,7673,1.03,0.11,2.05,9,8,,,,,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,4442,4655,1.05,0.07,1.24,9,8,,,,,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,1425,1478,1.04,0.02,0.39,3,3,,,,,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,415,428,1.03,0.01,0.11,2,0,,,,,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,12555,12806,1.02,0.18,3.42,5,3,,,,,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2019,2019
,,1886,1914,1.01,0.03,0.51,4,3,,,,,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2019,2019
,,30,31,1.03,0.0,0.01,4,2,,,,,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2019,2019
,,7667,8421,1.1,0.12,2.25,3,3,,,,,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2019,2019
,,1769,1954,1.1,0.03,0.52,0,0,,,,,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2019,2019
,,1965,1988,1.01,0.03,0.53,4,3,,,,,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2019,2019
,,4919,5143,1.05,0.07,1.37,6,3,,,,,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2019,2019
,,13457,13916,1.03,0.2,3.72,4,3,,,,,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2019,2019
,,710,820,1.15,0.01,0.22,7,3,,,,,A32E CHOROBY MIĘŚNI > 65 R.Ż.,1a,2019,2019
,,1192,1409,1.18,0.02,0.38,4,3,,,,,A32F CHOROBY MIĘŚNI < 66 R.Ż.,1a,2019,2019
,,5736,5753,1.0,0.08,1.54,4,3,,,,,A33 ZABURZENIA RÓWNOWAGI,1a,2019,2019
,,4532,5083,1.12,0.07,1.36,3,3,,,,,A34C GUZY MÓZGU I RDZENIA KRĘGOWEGO,1a,2019,2019
,,11257,11991,1.07,0.17,3.2,7,4,,,,,A34D GUZY MÓZGU I RDZENIA KRĘGOWEGO>3 DNI,1a,2019,2019
,,4723,5170,1.09,0.07,1.38,4,0,,,,,A35C CHOROBY ZWYRODNIENIOWE OUN,1a,2019,2019
,,2467,2497,1.01,0.04,0.67,6,4,,,,,A35D CHOROBY ZWYRODNIENIOWE OUN>3 DNI,1a,2019,2019
,,10746,14233,1.32,0.2,3.8,4,3,,,,,A36 CHOROBY DEMIELINIZACYJNE,1a,2019,2019
,,26735,28105,1.05,0.4,7.51,5,3,,,,,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2019,2019
,,7520,7647,1.02,0.11,2.04,4,3,,,,,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2019,2019
,,29514,29950,1.01,0.43,8.0,5,4,,,,,A47 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU - ROZSZERZONA DIAGNOSTYKA,1a,2019,2019
,,59076,60505,1.02,0.86,16.17,10,8,,,,,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2019,2019
,,13131,13250,1.01,0.19,3.54,7,7,,,,,A49 UDAR MÓZGU - LECZENIE > 3 DNI,1a,2019,2019
,,10990,11247,1.02,0.16,3.0,3,0,,,,,A50 UDAR MÓZGU - LECZENIE,1a,2019,2019
,,2733,2787,1.02,0.04,0.74,5,3,,,,,A56 CHOROBY NERWÓW CZASZKOWYCH,1a,2019,2019
,,5327,6385,1.2,0.09,1.71,10,3,,,,,A57 CHOROBY ZAPALNE UKŁADU NERWOWEGO,1a,2019,2019
,,593,604,1.02,0.01,0.16,6,3,,,,,A58 ENCEFALOPATIA,1a,2019,2019
,,13931,14115,1.01,0.2,3.77,4,3,,,,,A59 BÓLE GŁOWY,1a,2019,2019
,,5904,6366,1.08,0.09,1.7,3,3,,,,,A66 PADACZKA - DIAGNOSTYKA I LECZENIE,1a,2019,2019
,,11412,11771,1.03,0.17,3.14,6,4,,,,,A67 PADACZKA - DIAGNOSTYKA I LECZENIE > 3 DNI,1a,2019,2019
