branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,4729,4857,1.03,0.08,1.54,8,4,,,,,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2022,2022
,,253,256,1.01,0.0,0.08,8,7,,,,,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2022,2022
,,394,466,1.18,0.01,0.15,4,2,,,,,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2022,2022
,,878,976,1.11,0.02,0.31,2,2,,,,,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2022,2022
,,7494,7735,1.03,0.12,2.45,8,8,,,,,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,958,1008,1.05,0.02,0.32,8,8,,,,,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2022,2022
,,3843,4011,1.04,0.06,1.27,8,3,,,,,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,1009,1033,1.02,0.02,0.33,5,3,,,,,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,463,479,1.03,0.01,0.15,2,2,,,,,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,16906,17249,1.02,0.27,5.46,4,3,,,,,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2022,2022
,,1359,1378,1.01,0.02,0.44,3,3,,,,,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2022,2022
,,42,44,1.05,0.0,0.01,3,2,,,,,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2022,2022
,,7079,7878,1.11,0.12,2.49,3,3,,,,,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2022,2022
,,1648,1752,1.06,0.03,0.55,0,0,,,,,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2022,2022
,,1829,1949,1.07,0.03,0.62,3,3,,,,,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2022,2022
,,5129,5270,1.03,0.08,1.67,6,3,,,,,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2022,2022
,,8619,9029,1.05,0.14,2.86,4,3,,,,,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2022,2022
,,792,876,1.11,0.01,0.28,7,7,,,,,A32E CHOROBY MIĘŚNI > 65 R.Ż.,1a,2022,2022
,,1135,1368,1.21,0.02,0.43,4,3,,,,,A32F CHOROBY MIĘŚNI < 66 R.Ż.,1a,2022,2022
,,3355,3361,1.0,0.05,1.06,4,3,,,,,A33 ZABURZENIA RÓWNOWAGI,1a,2022,2022
,,3662,4127,1.13,0.07,1.31,2,1,,,,,A34C GUZY MÓZGU I RDZENIA KRĘGOWEGO,1a,2022,2022
,,10304,10970,1.06,0.17,3.47,7,4,,,,,A34D GUZY MÓZGU I RDZENIA KRĘGOWEGO>3 DNI,1a,2022,2022
,,3659,3967,1.08,0.06,1.25,4,0,,,,,A35C CHOROBY ZWYRODNIENIOWE OUN,1a,2022,2022
,,2345,2374,1.01,0.04,0.75,6,4,,,,,A35D CHOROBY ZWYRODNIENIOWE OUN>3 DNI,1a,2022,2022
,,9555,11687,1.22,0.18,3.7,4,3,,,,,A36 CHOROBY DEMIELINIZACYJNE,1a,2022,2022
,,23249,24257,1.04,0.38,7.67,5,3,,,,,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2022,2022
,,8951,9066,1.01,0.14,2.87,5,4,,,,,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2022,2022
,,14743,14850,1.01,0.24,4.7,5,4,,,,,A47 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU - ROZSZERZONA DIAGNOSTYKA,1a,2022,2022
,,60554,61970,1.02,0.98,19.6,10,8,,,,,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2022,2022
,,10756,10819,1.01,0.17,3.42,7,7,,,,,A49 UDAR MÓZGU - LECZENIE > 3 DNI,1a,2022,2022
,,10970,11613,1.06,0.18,3.67,2,0,,,,,A50 UDAR MÓZGU - LECZENIE,1a,2022,2022
,,2163,2242,1.04,0.04,0.71,5,3,,,,,A56 CHOROBY NERWÓW CZASZKOWYCH,1a,2022,2022
,,4955,5836,1.18,0.09,1.85,10,3,,,,,A57 CHOROBY ZAPALNE UKŁADU NERWOWEGO,1a,2022,2022
,,413,418,1.01,0.01,0.13,7,4,,,,,A58 ENCEFALOPATIA,1a,2022,2022
,,7818,7898,1.01,0.12,2.5,4,3,,,,,A59 BÓLE GŁOWY,1a,2022,2022
,,5662,6042,1.07,0.1,1.91,4,3,,,,,A66 PADACZKA - DIAGNOSTYKA I LECZENIE,1a,2022,2022
,,6174,6367,1.03,0.1,2.01,6,4,,,,,A67 PADACZKA - DIAGNOSTYKA I LECZENIE > 3 DNI,1a,2022,2022
,,7759,7911,1.02,0.13,2.5,4,3,,,,,A76 URAZY GŁOWY Z ISTOTNYM USZKODZENIEM MÓZGU LECZONE ZACHOWAWCZO,1a,2022,2022
,,4347,4379,1.01,0.07,1.39,2,1,,,,,A77 URAZY GŁOWY BEZ ISTOTNEGO USZKODZENIA MÓZGU LECZONE ZACHOWAWCZO,1a,2022,2022
,,1199,1451,1.21,0.02,0.46,4,0,,,,,A86 CHOROBY NEURONU RUCHOWEGO,1a,2022,2022
,,35756,36890,1.03,0.58,11.67,4,3,,,,,A87 INNE CHOROBY UKŁADU NERWOWEGO,1a,2022,2022
,,113,114,1.01,0.0,0.02,4,3,,,,,B04 PRZESZCZEP ROGÓWKI - KATEGORIA I *,1a,2022,2022
,,1075,1167,1.09,0.02,0.26,3,3,,,,,B05 PRZESZCZEP ROGÓWKI - KATEGORIA II *,1a,2022,2022
,,39,42,1.08,0.0,0.01,2,2,,,,,B06 PRZESZCZEP ROGÓWKI - KATEGORIA III *,1a,2022,2022
,,1945,2289,1.18,0.04,0.5,0,0,,,,,B11 KOMPLEKSOWE ZABIEGI W ZAĆMIE I JASKRZE *,1a,2022,2022
,,8161,9611,1.18,0.15,2.1,2,2,,,,,"B16 ZABIEGI Z WYKONANIEM WITREKTOMII Z UŻYCIEM OLEJU SILIKONOWEGO LUB DEKALINY, W TYM WIELOPROCEDURALNE *",1a,2022,2022
,,2863,2905,1.01,0.05,0.63,2,2,,,,,"B16G ZABIEGI Z WYKONANIEM FAKOWITREKTOMII Z UŻYCIEM OLEJU SILIKONOWEGO LUB DEKALINY, W TYM WIELOPROCEDURALNE *",1a,2022,2022
,,9395,10019,1.07,0.16,2.19,1,0,,,,,"B17 ZABIEGI Z WYKONANIEM WITREKTOMII, W TYM WIELOPROCEDURALNE *",1a,2022,2022
,,3256,3337,1.02,0.05,0.73,1,0,,,,,"B17G ZABIEGI Z WYKONANIEM FAKOWITREKTOMII, W TYM WIELOPROCEDURALNE *",1a,2022,2022
,,14650,16929,1.16,0.27,3.7,0,0,,,,,B18G USUNIĘCIE ZAĆMY - KATEGORIA I *,1a,2022,2022
,,220237,289459,1.31,4.58,63.24,0,0,,,,,B19G USUNIĘCIE ZAĆMY - KATEGORIA II *,1a,2022,2022
,,846,884,1.04,0.01,0.19,0,0,,,,,B23 ŚREDNIE ZABIEGI NA SOCZEWCE *,1a,2022,2022
,,716,728,1.02,0.01,0.16,0,0,,,,,B25 WSZCZEPIENIE WTÓRNE SOCZEWKI *,1a,2022,2022
,,837,893,1.07,0.01,0.2,1,0,,,,,B31 DUŻE REKONSTRUKCJE NA APARACIE OCHRONNYM OKA *,1a,2022,2022
,,3470,3955,1.14,0.06,0.86,0,0,,,,,B32 DUŻE ZABIEGI NA APARACIE OCHRONNYM OKA *,1a,2022,2022
,,9184,11205,1.22,0.18,2.45,0,0,,,,,B33 ŚREDNIE ZABIEGI NA APARACIE OCHRONNYM OKA *,1a,2022,2022
,,1001,1039,1.04,0.02,0.23,2,2,,,,,B42 DUŻE ZABIEGI NA OCZODOLE I APARACIE ŁZOWYM *,1a,2022,2022
,,2576,2914,1.13,0.05,0.64,0,0,,,,,B43 ŚREDNIE ZABIEGI NA OCZODOLE I APARACIE ŁZOWYM *,1a,2022,2022
,,1782,2048,1.15,0.03,0.45,1,0,,,,,B52 DUŻE ZABIEGI NA ROGÓWCE I TWARDÓWCE *,1a,2022,2022
,,1522,1616,1.06,0.03,0.35,0,0,,,,,B53 ŚREDNIE ZABIEGI NA ROGÓWCE I TWARDÓWCE *,1a,2022,2022
,,2729,2815,1.03,0.04,0.62,0,0,,,,,B63 ZABIEGI W ZAKRESIE MIĘŚNI OKORUCHOWYCH *,1a,2022,2022
,,4006,4797,1.2,0.08,1.05,2,2,,,,,B72 DUŻE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2022,2022
,,2556,3019,1.18,0.05,0.66,0,0,,,,,B73 ŚREDNIE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2022,2022
,,487,511,1.05,0.01,0.11,0,0,,,,,B74 MAŁE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2022,2022
,,675,692,1.03,0.01,0.15,2,2,,,,,B81 DUŻE ZABIEGI NA SIATKÓWCE *,1a,2022,2022
,,19,19,1.0,0.0,0.0,2,0,,,,,B83 ŚREDNIE ZABIEGI WITREORETINALNE *,1a,2022,2022
,,25920,67726,2.61,1.07,14.8,0,0,,,,,B84 MAŁE ZABIEGI WITREORETINALNE *,1a,2022,2022
,,6204,6683,1.08,0.11,1.46,0,0,,,,,B94 INNE PROCEDURY W ZAKRESIE OKA *,1a,2022,2022
,,9292,10215,1.1,0.16,2.23,4,0,,,,,B98A LECZENIE ZACHOWAWCZE OKULISTYCZNE > 17 R.Ż.,1a,2022,2022
