branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,5545,5693,1.03,0.08,1.37,9,7,,,,,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2018,2018
,,636,648,1.02,0.01,0.16,5,0,,,,,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2018,2018
,,368,442,1.2,0.01,0.11,4,3,,,,,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2018,2018
,,681,770,1.13,0.01,0.19,2,2,,,,,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2018,2018
,,7870,8098,1.03,0.12,1.95,9,8,,,,,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,5325,5618,1.06,0.08,1.36,9,8,,,,,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,1870,1971,1.05,0.03,0.48,4,3,,,,,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,610,626,1.03,0.01,0.15,0,0,,,,,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,11367,11586,1.02,0.17,2.8,5,3,,,,,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,2182,2208,1.01,0.03,0.53,4,3,,,,,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,25,26,1.04,0.0,0.01,3,2,,,,,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,7622,8320,1.09,0.12,2.01,3,3,,,,,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2018,2018
,,1348,1517,1.13,0.02,0.37,0,0,,,,,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2018,2018
,,1555,1569,1.01,0.02,0.38,5,2,,,,,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,4695,4842,1.03,0.07,1.17,6,3,,,,,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2018,2018
,,14230,14790,1.04,0.21,3.57,5,3,,,,,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2018,2018
,,592,673,1.14,0.01,0.16,7,3,,,,,A32E CHOROBY MIĘŚNI > 65 R.Ż.,1a,2018,2018
