catalog,name,year,period,id,header,type,link
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2019,2019,b37ddfab-f545-20b5-4a27-97175279bcdc,Kategorie produktów sumowanych do JGP - kategoryzacja NFZ,product-categories,/hospitalizations-by-product-category/b37ddfab-f545-20b5-4a27-97175279bcdc
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2019,2019,19532897-208c-06f4-1be7-454e367f9b04,Liczba hospitalizacji i czas pobytu ze względu na zakres świadczeń,hospitalization-by-service,/hospitalizations-by-healthcare-service/19532897-208c-06f4-1be7-454e367f9b04
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2019,2019,7fa41d60-96b4-af37-85c4-41d35e48ec20,Liczba hospitalizacji i czas pobytu ze względu na wiek pacjenta,hospitalization-by-age,/hospitalizations-by-patient-age/7fa41d60-96b4-af37-85c4-41d35e48ec20
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2019,2019,11c7d759-8af5-128a-3738-2cc47896759e,Histogram czasu pobytu,histograms,/histogram-data/11c7d759-8af5-128a-3738-2cc47896759e
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2019,2019,55c48555-1fe3-f37e-b4e9-730b0a1c28e3,Rozpoznania ICD 10  - Kody dodatkowe listy A01,icd-10-diseases,/icd10-diseases/55c48555-1fe3-f37e-b4e9-730b0a1c28e3
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2019,2019,966eb73a-2cfd-4271-0e21-d473152e7261,Liczba hospitalizacji i czas pobytu pacjenta ze względu na płeć pacjenta,hospitalization-by-gender,/hospitalizations-by-patient-gender/966eb73a-2cfd-4271-0e21-d473152e7261
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2019,2019,5fc7a003-14f7-ebea-f4b8-71b89a4cde82,Liczba hospitalizacji ze względu na tryb wypisu pacjenta,hospitalization-by-discharge,/hospitalizations-by-discharge-type/5fc7a003-14f7-ebea-f4b8-71b89a4cde82
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2019,2019,0f7eb74c-7043-e264-acfb-84dad978144f,Procedury ICD 9  - Kody listy kierunkowej,icd-9-procedures,/icd9-procedures/0f7eb74c-7043-e264-acfb-84dad978144f
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2019,2019,b37ddfab-f545-20b5-4a27-97175279bcdc,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta,hospitalization-by-admission,/hospitalizations-by-admission-type/b37ddfab-f545-20b5-4a27-97175279bcdc
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2019,2019,3ddc3b0e-223c-2732-b94b-d0a5c5bf2399,Procedury ICD 9,icd-9-procedures,/icd9-procedures/3ddc3b0e-223c-2732-b94b-d0a5c5bf2399
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2019,2019,1ee5a913-5233-06b7-b850-756ab1c3de07,Dane ogólne,general-data,/basic-data/1ee5a913-5233-06b7-b850-756ab1c3de07
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2019,2019,d6dad6fe-21fc-5147-e668-b03c0c52620d,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta - kategoryzacja NFZ,hospitalization-by-admission-nfz,/hospitalizations-by-admission-type-nfz-categorized/d6dad6fe-21fc-5147-e668-b03c0c52620d
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2019,2019,47add626-ccb3-3eb3-3a8a-0043f1448d88,Procedury ICD 9  - Kody listy kierunkowej,icd-9-procedures,/icd9-procedures/47add626-ccb3-3eb3-3a8a-0043f1448d88
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2019,2019,e70eb976-e3de-bdb8-1504-57550051e5d2,Histogram czasu pobytu,histograms,/histogram-data/e70eb976-e3de-bdb8-1504-57550051e5d2
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2019,2019,6f6a597f-e8f0-7c64-57c1-9707abc07ac8,Liczba hospitalizacji i czas pobytu ze względu na wiek pacjenta,hospitalization-by-age,/hospitalizations-by-patient-age/6f6a597f-e8f0-7c64-57c1-9707abc07ac8
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2019,2019,b19a1130-8eb7-d037-054b-376f7179b006,Rozpoznania ICD 10  - Kody dodatkowe listy A02,icd-10-diseases,/icd10-diseases/b19a1130-8eb7-d037-054b-376f7179b006
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2019,2019,fe0559ce-6b63-ce6e-6745-50dfe35f461c,Liczba hospitalizacji i czas pobytu pacjenta ze względu na płeć pacjenta,hospitalization-by-gender,/hospitalizations-by-patient-gender/fe0559ce-6b63-ce6e-6745-50dfe35f461c
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2019,2019,6ee2cb3b-66ea-ddc9-4f72-a344d51d32f7,Liczba hospitalizacji ze względu na tryb wypisu pacjenta,hospitalization-by-discharge,/hospitalizations-by-discharge-type/6ee2cb3b-66ea-ddc9-4f72-a344d51d32f7
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2019,2019,ab9a149c-a8be-e077-94e0-c7b68a5279f6,Kategorie produktów sumowanych do JGP - kategoryzacja NFZ,product-categories,/hospitalizations-by-product-category/ab9a149c-a8be-e077-94e0-c7b68a5279f6
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2019,2019,bbd57fac-6ffa-9686-b777-ea52df94dacc,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta - kategoryzacja NFZ,hospitalization-by-admission-nfz,/hospitalizations-by-admission-type-nfz-categorized/bbd57fac-6ffa-9686-b777-ea52df94dacc
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2019,2019,ab9a149c-a8be-e077-94e0-c7b68a5279f6,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta,hospitalization-by-admission,/hospitalizations-by-admission-type/ab9a149c-a8be-e077-94e0-c7b68a5279f6
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2019,2019,24df0ed4-1a94-ff1d-5cbc-db08a4310e40,Dane ogólne,general-data,/basic-data/24df0ed4-1a94-ff1d-5cbc-db08a4310e40
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2019,2019,a7cb2e37-b5b7-4cc6-ba8d-21a7d6157492,Procedury ICD 9,icd-9-procedures,/icd9-procedures/a7cb2e37-b5b7-4cc6-ba8d-21a7d6157492
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2019,2019,bff43ebf-35d7-2fb4-4f93-b5c69f079708,Liczba hospitalizacji i czas pobytu ze względu na zakres świadczeń,hospitalization-by-service,/hospitalizations-by-healthcare-service/bff43ebf-35d7-2fb4-4f93-b5c69f079708
1a,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,2019,2019,41e45395-2e8d-a03f-3671-641252eb4ab8,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta - kategoryzacja NFZ,hospitalization-by-admission-nfz,/hospitalizations-by-admission-type-nfz-categorized/41e45395-2e8d-a03f-3671-641252eb4ab8
1a,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,2019,2019,04ec4288-4f29-8822-913d-14802dc5eabe,Liczba hospitalizacji i czas pobytu pacjenta ze względu na płeć pacjenta,hospitalization-by-gender,/hospitalizations-by-patient-gender/04ec4288-4f29-8822-913d-14802dc5eabe
1a,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,2019,2019,cd16a0fd-8542-0df0-1b80-2772a0071dc5,Rozpoznania ICD 10  - Kody dodatkowe listy A03,icd-10-diseases,/icd10-diseases/cd16a0fd-8542-0df0-1b80-2772a0071dc5
1a,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,2019,2019,8aa3c50c-ea32-75ed-5556-38d045566136,Histogram czasu pobytu,histograms,/histogram-data/8aa3c50c-ea32-75ed-5556-38d045566136
1a,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,2019,2019,c6194ba2-16ca-99df-b27d-c4ad6d9d7c06,Rozpoznania ICD 10  - Kody dodatkowe listy A5,icd-10-diseases,/icd10-diseases/c6194ba2-16ca-99df-b27d-c4ad6d9d7c06
1a,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,2019,2019,c97ba3fe-8e0d-fa42-c7c0-3bd65b909885,Rozpoznania ICD 10  - Kody dodatkowe listy A5,icd-10-diseases,/icd10-diseases/c97ba3fe-8e0d-fa42-c7c0-3bd65b909885
