branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,4432,4530,1.02,0.09,1.68,8,5,,,,,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2020,2020
,,258,263,1.02,0.01,0.1,8,4,,,,,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2020,2020
,,314,354,1.13,0.01,0.13,4,2,,,,,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2020,2020
,,617,676,1.1,0.01,0.25,2,2,,,,,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2020,2020
,,6895,7119,1.03,0.14,2.63,8,8,,,,,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2020,2020
,,3865,4030,1.04,0.08,1.49,9,8,,,,,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2020,2020
,,852,872,1.02,0.02,0.32,5,3,,,,,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2020,2020
,,395,519,1.31,0.01,0.19,0,0,,,,,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2020,2020
,,10238,10410,1.02,0.21,3.85,4,3,,,,,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2020,2020
,,1304,1327,1.02,0.03,0.49,3,3,,,,,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2020,2020
,,32,33,1.03,0.0,0.01,4,2,,,,,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2020,2020
,,4977,5405,1.09,0.11,2.0,3,3,,,,,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2020,2020
,,1125,1199,1.07,0.02,0.44,0,0,,,,,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2020,2020
,,1528,1575,1.03,0.03,0.58,4,2,,,,,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2020,2020
,,3007,3102,1.03,0.06,1.15,6,3,,,,,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2020,2020
,,7160,7407,1.03,0.15,2.74,4,3,,,,,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2020,2020
,,501,556,1.11,0.01,0.21,7,6,,,,,A32E CHOROBY MIĘŚNI > 65 R.Ż.,1a,2020,2020
,,743,881,1.19,0.02,0.33,5,3,,,,,A32F CHOROBY MIĘŚNI < 66 R.Ż.,1a,2020,2020
,,2963,2971,1.0,0.06,1.1,4,3,,,,,A33 ZABURZENIA RÓWNOWAGI,1a,2020,2020
,,3468,3898,1.12,0.08,1.44,2,3,,,,,A34C GUZY MÓZGU I RDZENIA KRĘGOWEGO,1a,2020,2020
,,9124,9620,1.05,0.19,3.56,7,4,,,,,A34D GUZY MÓZGU I RDZENIA KRĘGOWEGO>3 DNI,1a,2020,2020
