branch,hospital-types,product-category-code,product-category-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,value,value-percentage,name,catalog,year,period
,,0,pozostałe świadczenia,1710,35.21,0,1601690.75,1.26,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2022,2022
,,6,przetoczenie preparatów krwi i innych substancji,1230,25.32,0,1854007.33,1.46,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2022,2022
,,4,leczenie żywieniowe,1317,27.12,0,946667.77,0.74,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2022,2022
,,5,pobyt w OAiIT,1304,26.85,0,62347267.92,48.95,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2022,2022
,,5,pobyt w OAiIT,26,10.16,0,1479712.83,30.77,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2022,2022
,,6,przetoczenie preparatów krwi i innych substancji,27,10.55,0,58317.16,1.21,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2022,2022
,,0,pozostałe świadczenia,63,24.61,0,169204.34,3.52,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2022,2022
,,4,leczenie żywieniowe,26,10.16,0,23917.66,0.5,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2022,2022
,,0,pozostałe świadczenia,66,14.16,0,6050.67,0.02,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2022,2022
,,0,pozostałe świadczenia,72,7.38,0,22338.24,0.05,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2022,2022
,,5,pobyt w OAiIT,797,10.3,0,27017137.01,12.85,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,4,leczenie żywieniowe,600,7.76,0,415545.18,0.2,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,0,pozostałe świadczenia,2139,27.65,0,3211362.53,1.53,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,6,przetoczenie preparatów krwi i innych substancji,735,9.5,0,782184.55,0.37,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,4,leczenie żywieniowe,52,5.16,0,27027.4,0.09,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2022,2022
,,5,pobyt w OAiIT,149,14.78,0,2014525.63,6.38,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2022,2022
,,0,pozostałe świadczenia,637,63.19,0,1206915.99,3.82,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2022,2022
,,6,przetoczenie preparatów krwi i innych substancji,71,7.04,0,86625.6,0.27,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2022,2022
,,5,pobyt w OAiIT,583,14.54,0,34868137.05,35.39,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,0,pozostałe świadczenia,1289,32.14,0,1867199.22,1.9,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,4,leczenie żywieniowe,641,15.98,0,628181.85,0.64,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,6,przetoczenie preparatów krwi i innych substancji,468,11.67,0,634347.54,0.64,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,6,przetoczenie preparatów krwi i innych substancji,77,7.45,0,106482.22,0.83,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,0,pozostałe świadczenia,143,13.84,0,137275.21,1.07,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,4,leczenie żywieniowe,80,7.74,0,59666.59,0.46,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,5,pobyt w OAiIT,70,6.78,0,3364239.38,26.18,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,0,pozostałe świadczenia,76,15.87,0,6591.57,0.53,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2022,2022
,,6,przetoczenie preparatów krwi i innych substancji,181,1.05,0,195165.91,0.06,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2022,2022
