procedure-code,procedure-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
01.247,Kraniotomia z usunięciem krwiaka podtwardówkowego,2624,48.36,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
01.243,Trepanacja czaszki,1579,29.1,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
01.245,Kraniotomia z usunięciem krwiaka nadtwardówkowego,752,13.86,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
01.19,Inne zabiegi diagnostyczne czaszki,126,2.32,5,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
01.248,Kraniotomia z usunięciem krwiaka śródmózgowego,102,1.88,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
01.092,Aspiracja przestrzeni podtwardówkowej,99,1.82,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
01.23,Powtórne otwarcie w miejscu kraniotomii,79,1.46,17,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
02.051,Założenie płytki sztucznej do czaszki,57,1.05,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
87.031,TK głowy bez i ze wzmocnieniem kontrastowym,2204,40.62,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
89.00,"Porada lekarska, konsultacja, asysta",1720,31.7,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
89.04,Opieka pielęgniarki lub położnej,1201,22.13,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
87.441,RTG płuc - inne,1013,18.67,14,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
89.61,Monitorowanie systemowego ciśnienia tętniczego,843,15.54,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
100.01,Znieczulenie ogólne dotchawicze z monitorowaniem rozszerzonym (do 2 godzin),822,15.15,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
99.18,Wstrzyknięcie/ infuzja elektrolitów,772,14.23,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
100.02,Znieczulenie ogólne dotchawicze z monitorowaniem rozszerzonym (od 2 do 4 godzin),710,13.09,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
99.04,Przetoczenie koncentratu krwinek czerwonych,703,12.96,15,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
87.04,Tomografia głowy i/ lub szyi - inne,631,11.63,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
89.602,Pulsoksymetria,583,10.74,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
89.540,Monitorowanie podstawowych funkcji życiowych,486,8.96,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
89.522,Elektrokardiografia z 12 lub więcej odprowadzeniami (z opisem),466,8.59,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
38.93,Cewnikowanie żył - inne,422,7.78,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
99.07,Przetoczenie osocza - inne,404,7.45,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
89.62,Monitorowanie centralnego ciśnienia żylnego,401,7.39,13,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
99.218,Podanie antybiotyku dożylnie lub we wlewie,381,7.02,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
96.55,Toaleta drzewa oskrzelowego,380,7.0,15,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
93.964,Tlenoterapia,376,6.93,16,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
96.782,Ciągła mechaniczna wentylacja trwająca 96 lub więcej godzin,372,6.86,18,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
93.57,Założenie opatrunku na ranę - inne,339,6.25,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
89.13,Badanie neurologiczne,320,5.9,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
89.65,Gazometria krwi tętniczej,318,5.86,13,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
87.03,Komputerowa tomografia głowy i/ lub szyi,312,5.75,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
38.91,Cewnikowanie tętnic,293,5.4,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
96.04,Intubacja dotchawicza,286,5.27,13,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
89.549,Monitorowanie elektrokardiograficzne - inne,273,5.03,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
89.7,Badanie fizykalne,270,4.98,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
