branch,hospital-types,product-category-code,product-category-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,value,value-percentage,name,catalog,year,period
,,0,pozostałe świadczenia,1744,36.79,0,2176419.46,1.39,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,6,przetoczenie preparatów krwi i innych substancji,1220,25.74,0,2407623.28,1.53,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,5,pobyt w OAiIT,1355,28.59,0,79998395.06,50.98,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,4,leczenie żywieniowe,1360,28.69,0,1373972.57,0.88,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,6,przetoczenie preparatów krwi i innych substancji,32,12.03,0,62505.21,1.14,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,4,leczenie żywieniowe,23,8.65,0,13020.26,0.24,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,0,pozostałe świadczenia,69,25.94,0,17886.03,0.33,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,5,pobyt w OAiIT,28,10.53,0,1806244.94,33.0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,0,pozostałe świadczenia,98,18.92,0,11815.48,0.03,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
,,0,pozostałe świadczenia,56,5.03,0,7926.95,0.01,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2023,2023
,,6,przetoczenie preparatów krwi i innych substancji,811,10.36,0,1093591.28,0.41,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,5,pobyt w OAiIT,907,11.59,0,37092511.44,13.97,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,4,leczenie żywieniowe,705,9.01,0,882165.11,0.33,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,0,pozostałe świadczenia,2291,29.27,0,4548866.33,1.71,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,0,pozostałe świadczenia,741,58.9,0,2372827.27,4.84,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2023,2023
,,6,przetoczenie preparatów krwi i innych substancji,98,7.79,0,143359.07,0.29,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2023,2023
,,4,leczenie żywieniowe,48,3.82,0,41834.7,0.09,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2023,2023
,,5,pobyt w OAiIT,128,10.17,0,2439536.71,4.98,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2023,2023
,,0,pozostałe świadczenia,1119,30.76,0,2030011.04,2.03,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,6,przetoczenie preparatów krwi i innych substancji,365,10.03,0,620423.88,0.62,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,4,leczenie żywieniowe,535,14.71,0,750226.53,0.75,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,5,pobyt w OAiIT,469,12.89,0,30391296.97,30.46,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,0,pozostałe świadczenia,181,16.9,0,193619.16,1.15,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,5,pobyt w OAiIT,78,7.28,0,4742899.35,28.08,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,4,leczenie żywieniowe,79,7.38,0,101339.58,0.6,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,6,przetoczenie preparatów krwi i innych substancji,72,6.72,0,99416.06,0.59,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,0,pozostałe świadczenia,79,15.49,0,8998.92,0.6,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,6,przetoczenie preparatów krwi i innych substancji,289,1.41,0,438789.99,0.1,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
,,0,pozostałe świadczenia,2253,11.01,0,1033280.33,0.24,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
,,0,pozostałe świadczenia,139,9.15,0,26585.42,0.14,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
,,0,pozostałe świadczenia,4,7.41,0,516.0,0.32,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
,,0,pozostałe świadczenia,347,3.64,0,43798.82,0.05,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2023,2023
,,0,pozostałe świadczenia,82,3.13,0,5269.02,0.17,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2023,2023
,,6,przetoczenie preparatów krwi i innych substancji,37,1.29,0,72712.44,0.18,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
,,0,pozostałe świadczenia,147,5.11,0,55897.03,0.14,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
,,0,pozostałe świadczenia,730,12.86,0,8069393.89,11.46,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2023,2023
,,1,programy lekowe,76,1.34,0,1354821.79,1.92,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2023,2023
