branch,hospital-types,product-category-code,product-category-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,value,value-percentage,name,catalog,year,period
,,0,pozostałe świadczenia,221,4.07,0,428598.9,1.36,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,4,leczenie żywieniowe,105,1.94,0,266832.0,0.85,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,5,pobyt w OAiIT,1195,22.02,0,29355370.34,93.35,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,6,przetoczenie preparatów krwi i innych substancji,1131,20.84,0,1054028.34,3.35,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,0,pozostałe świadczenia,6,1.0,0,3900.48,0.33,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,4,leczenie żywieniowe,12,1.99,0,33456.0,2.83,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,5,pobyt w OAiIT,47,7.79,0,1051986.69,88.85,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,6,przetoczenie preparatów krwi i innych substancji,66,10.95,0,75987.96,6.42,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,5,pobyt w OAiIT,728,11.01,0,13536714.64,91.3,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2010,2010
,,6,przetoczenie preparatów krwi i innych substancji,863,13.05,0,599142.28,4.04,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2010,2010
,,0,pozostałe świadczenia,75,1.26,0,157451.28,0.95,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2010,2010
,,4,leczenie żywieniowe,73,1.23,0,232978.24,1.41,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2010,2010
,,5,pobyt w OAiIT,691,11.65,0,15459792.58,93.48,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2010,2010
,,6,przetoczenie preparatów krwi i innych substancji,539,9.09,0,385927.65,2.33,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2010,2010
,,5,pobyt w OAiIT,100,6.62,0,1623625.29,89.21,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2010,2010
,,6,przetoczenie preparatów krwi i innych substancji,83,5.49,0,89763.16,4.93,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2010,2010
