branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,4603,4740,1.03,0.07,1.38,8,4,,,,,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,259,266,1.03,0.0,0.08,7,4,,,,,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,429,518,1.21,0.01,0.15,3,2,,,,,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
,,995,1114,1.12,0.02,0.32,2,2,,,,,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2023,2023
,,7573,7826,1.03,0.12,2.27,8,8,,,,,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,1210,1258,1.04,0.02,0.37,8,8,,,,,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2023,2023
,,3474,3638,1.05,0.05,1.06,7,3,,,,,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,1037,1071,1.03,0.02,0.31,5,3,,,,,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,499,510,1.02,0.01,0.15,2,0,,,,,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,19983,20455,1.02,0.3,5.94,3,3,,,,,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
,,1498,1519,1.01,0.02,0.44,3,3,,,,,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
,,53,54,1.02,0.0,0.02,2,2,,,,,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
,,8565,9542,1.11,0.14,2.77,3,3,,,,,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2023,2023
,,2470,2618,1.06,0.04,0.76,0,0,,,,,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2023,2023
,,2542,2876,1.13,0.04,0.84,1,0,,,,,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
,,5516,5676,1.03,0.08,1.65,5,3,,,,,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2023,2023
,,7126,7594,1.07,0.11,2.21,4,3,,,,,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2023,2023
,,785,932,1.19,0.01,0.27,6,4,,,,,A32E CHOROBY MIĘŚNI > 65 R.Ż.,1a,2023,2023
,,1133,1363,1.2,0.02,0.4,3,3,,,,,A32F CHOROBY MIĘŚNI < 66 R.Ż.,1a,2023,2023
,,2839,2843,1.0,0.04,0.83,4,3,,,,,A33 ZABURZENIA RÓWNOWAGI,1a,2023,2023
,,3682,4226,1.15,0.06,1.23,2,1,,,,,A34C GUZY MÓZGU I RDZENIA KRĘGOWEGO,1a,2023,2023
,,10506,11173,1.06,0.16,3.25,7,4,,,,,A34D GUZY MÓZGU I RDZENIA KRĘGOWEGO>3 DNI,1a,2023,2023
,,3418,3749,1.1,0.06,1.09,4,0,,,,,A35C CHOROBY ZWYRODNIENIOWE OUN,1a,2023,2023
,,2528,2565,1.01,0.04,0.75,5,4,,,,,A35D CHOROBY ZWYRODNIENIOWE OUN>3 DNI,1a,2023,2023
,,9880,11980,1.21,0.18,3.48,4,4,,,,,A36 CHOROBY DEMIELINIZACYJNE,1a,2023,2023
,,25069,26455,1.06,0.39,7.69,5,3,,,,,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2023,2023
,,6934,6999,1.01,0.1,2.03,5,4,,,,,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2023,2023
,,16761,16903,1.01,0.25,4.91,5,4,,,,,A47 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU - ROZSZERZONA DIAGNOSTYKA,1a,2023,2023
,,63804,65493,1.03,0.97,19.03,9,8,,,,,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2023,2023
,,9453,9517,1.01,0.14,2.77,7,4,,,,,A49 UDAR MÓZGU - LECZENIE > 3 DNI,1a,2023,2023
,,9730,10348,1.06,0.15,3.01,2,0,,,,,A50 UDAR MÓZGU - LECZENIE,1a,2023,2023
,,1317,1348,1.02,0.02,0.39,5,3,,,,,A56 CHOROBY NERWÓW CZASZKOWYCH,1a,2023,2023
,,5636,6644,1.18,0.1,1.93,10,3,,,,,A57 CHOROBY ZAPALNE UKŁADU NERWOWEGO,1a,2023,2023
,,287,292,1.02,0.0,0.08,8,7,,,,,A58 ENCEFALOPATIA,1a,2023,2023
,,7110,7173,1.01,0.11,2.08,3,3,,,,,A59 BÓLE GŁOWY,1a,2023,2023
,,4468,4756,1.06,0.07,1.38,4,3,,,,,A66 PADACZKA - DIAGNOSTYKA I LECZENIE,1a,2023,2023
,,6945,7168,1.03,0.11,2.08,6,4,,,,,A67 PADACZKA - DIAGNOSTYKA I LECZENIE > 3 DNI,1a,2023,2023
,,3940,3985,1.01,0.06,1.16,4,3,,,,,A76 URAZY GŁOWY Z ISTOTNYM USZKODZENIEM MÓZGU LECZONE ZACHOWAWCZO,1a,2023,2023
,,3586,3606,1.01,0.05,1.05,1,1,,,,,A77 URAZY GŁOWY BEZ ISTOTNEGO USZKODZENIA MÓZGU LECZONE ZACHOWAWCZO,1a,2023,2023
,,1167,1416,1.21,0.02,0.41,4,0,,,,,A86 CHOROBY NEURONU RUCHOWEGO,1a,2023,2023
,,59635,61919,1.04,0.91,17.99,4,3,,,,,A87 INNE CHOROBY UKŁADU NERWOWEGO,1a,2023,2023
,,161,166,1.03,0.0,0.03,4,3,,,,,B04 PRZESZCZEP ROGÓWKI - KATEGORIA I *,1a,2023,2023
,,1084,1194,1.1,0.02,0.24,3,3,,,,,B05 PRZESZCZEP ROGÓWKI - KATEGORIA II *,1a,2023,2023
,,29,29,1.0,0.0,0.01,2,2,,,,,B06 PRZESZCZEP ROGÓWKI - KATEGORIA III *,1a,2023,2023
,,2338,2759,1.18,0.04,0.56,0,0,,,,,B11 KOMPLEKSOWE ZABIEGI W ZAĆMIE I JASKRZE *,1a,2023,2023
,,8889,10535,1.19,0.16,2.14,2,2,,,,,"B16 ZABIEGI Z WYKONANIEM WITREKTOMII Z UŻYCIEM OLEJU SILIKONOWEGO LUB DEKALINY, W TYM WIELOPROCEDURALNE *",1a,2023,2023
,,3167,3226,1.02,0.05,0.65,2,2,,,,,"B16G ZABIEGI Z WYKONANIEM FAKOWITREKTOMII Z UŻYCIEM OLEJU SILIKONOWEGO LUB DEKALINY, W TYM WIELOPROCEDURALNE *",1a,2023,2023
,,10352,11037,1.07,0.16,2.24,1,0,,,,,"B17 ZABIEGI Z WYKONANIEM WITREKTOMII, W TYM WIELOPROCEDURALNE *",1a,2023,2023
,,3627,3737,1.03,0.06,0.76,0,0,,,,,"B17G ZABIEGI Z WYKONANIEM FAKOWITREKTOMII, W TYM WIELOPROCEDURALNE *",1a,2023,2023
,,17639,20379,1.16,0.3,4.13,0,0,,,,,B18G USUNIĘCIE ZAĆMY - KATEGORIA I *,1a,2023,2023
,,232591,306296,1.32,4.52,62.08,0,0,,,,,B19G USUNIĘCIE ZAĆMY - KATEGORIA II *,1a,2023,2023
,,900,927,1.03,0.01,0.19,0,0,,,,,B23 ŚREDNIE ZABIEGI NA SOCZEWCE *,1a,2023,2023
,,712,724,1.02,0.01,0.15,0,0,,,,,B25 WSZCZEPIENIE WTÓRNE SOCZEWKI *,1a,2023,2023
,,1088,1165,1.07,0.02,0.24,1,0,,,,,B31 DUŻE REKONSTRUKCJE NA APARACIE OCHRONNYM OKA *,1a,2023,2023
,,4271,4916,1.15,0.07,1.0,0,0,,,,,B32 DUŻE ZABIEGI NA APARACIE OCHRONNYM OKA *,1a,2023,2023
,,11117,13355,1.2,0.2,2.71,0,0,,,,,B33 ŚREDNIE ZABIEGI NA APARACIE OCHRONNYM OKA *,1a,2023,2023
,,1043,1071,1.03,0.02,0.22,2,2,,,,,B42 DUŻE ZABIEGI NA OCZODOLE I APARACIE ŁZOWYM *,1a,2023,2023
,,3278,3992,1.22,0.06,0.81,0,0,,,,,B43 ŚREDNIE ZABIEGI NA OCZODOLE I APARACIE ŁZOWYM *,1a,2023,2023
,,1868,2179,1.17,0.03,0.44,1,0,,,,,B52 DUŻE ZABIEGI NA ROGÓWCE I TWARDÓWCE *,1a,2023,2023
,,1463,1549,1.06,0.02,0.31,0,0,,,,,B53 ŚREDNIE ZABIEGI NA ROGÓWCE I TWARDÓWCE *,1a,2023,2023
,,2859,2944,1.03,0.04,0.6,1,0,,,,,B63 ZABIEGI W ZAKRESIE MIĘŚNI OKORUCHOWYCH *,1a,2023,2023
,,4582,5584,1.22,0.08,1.13,1,0,,,,,B72 DUŻE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2023,2023
,,3009,3535,1.17,0.05,0.72,0,0,,,,,B73 ŚREDNIE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2023,2023
,,427,449,1.05,0.01,0.09,0,0,,,,,B74 MAŁE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2023,2023
,,645,656,1.02,0.01,0.13,2,2,,,,,B81 DUŻE ZABIEGI NA SIATKÓWCE *,1a,2023,2023
,,17,17,1.0,0.0,0.0,1,0,,,,,B83 ŚREDNIE ZABIEGI WITREORETINALNE *,1a,2023,2023
,,28617,74710,2.61,1.1,15.14,0,0,,,,,B84 MAŁE ZABIEGI WITREORETINALNE *,1a,2023,2023
,,5679,6001,1.06,0.09,1.22,0,0,,,,,B94 INNE PROCEDURY W ZAKRESIE OKA *,1a,2023,2023
,,9385,10212,1.09,0.15,2.07,4,3,,,,,B98A LECZENIE ZACHOWAWCZE OKULISTYCZNE > 17 R.Ż.,1a,2023,2023
,,1553,1559,1.0,0.02,0.72,15,11,,,,,"C01 ROZLEGŁE OPERACJE NOWOTWORÓW JAMY USTNEJ, GARDŁA I KRTANI Z REKONSTRUKCJĄ *",1a,2023,2023
,,1235,1253,1.01,0.02,0.58,4,4,,,,,C05G LECZENIE ZABURZEŃ SŁUCHU ZA POMOCĄ IMPLANTÓW ŚLIMAKOWYCH *,1a,2023,2023
,,94,94,1.0,0.0,0.04,3,3,,,,,C06G LECZENIE ZABURZEŃ SŁUCHU ZA POMOCĄ IMPLANTÓW UCHA ŚRODKOWEGO *,1a,2023,2023
,,168,170,1.01,0.0,0.08,2,2,,,,,C06H LECZENIE ZABURZEŃ SŁUCHU ZA POMOCĄ INNYCH WSZCZEPIALNYCH ELEKTRONICZNYCH PROTEZ SŁUCHU *,1a,2023,2023
,,1552,1600,1.03,0.02,0.74,0,0,,,,,C07G WYMIANA PROCESORA MOWY IMPLANTÓW ŚLIMAKOWYCH I DO PNIA MÓZGU *,1a,2023,2023
,,13,13,1.0,0.0,0.01,0,0,,,,,C07H WYMIANA PROCESORA MOWY IMPLANTÓW UCHA ŚRODKOWEGO *,1a,2023,2023
