branch,hospital-types,contract-product-code,contract-product-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,11920,NEUROCHIRURGIA - HOSPITALIZACJA,4820,89.21,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
,,12200,CHIRURGIA OGÓLNA - HOSPITALIZACJA,543,10.05,13,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2019,2019
,,11920,NEUROCHIRURGIA - HOSPITALIZACJA,302,94.38,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
,,12200,CHIRURGIA OGÓLNA - HOSPITALIZACJA,10,3.13,24,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
,,11899,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,5,1.56,4,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2019,2019
,,12049,NEUROCHIRURGIA - HOSPITALIZACJA - A03,388,88.38,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
,,11976,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA - A03,51,11.62,3,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2019,2019
,,11920,NEUROCHIRURGIA - HOSPITALIZACJA,731,99.73,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2019,2019
,,11920,NEUROCHIRURGIA - HOSPITALIZACJA,2789,36.35,10,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,11948,NEUROCHIRURGIA - HOSPITALIZACJA - PAKIET ONKOLOGICZNY,2527,32.93,8,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,12216,NEUROCHIRURGIA - HOSPITALIZACJA - ŚWIADCZENIA DIAGNOSTYKI I LECZENIA ONKOLOGICZNEGO - POZA PAKIETEM ONKOLOGICZNYM,2274,29.64,9,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,11920,NEUROCHIRURGIA - HOSPITALIZACJA,2556,54.91,10,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,12216,NEUROCHIRURGIA - HOSPITALIZACJA - ŚWIADCZENIA DIAGNOSTYKI I LECZENIA ONKOLOGICZNEGO - POZA PAKIETEM ONKOLOGICZNYM,1055,22.66,9,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,11948,NEUROCHIRURGIA - HOSPITALIZACJA - PAKIET ONKOLOGICZNY,1016,21.83,8,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,11920,NEUROCHIRURGIA - HOSPITALIZACJA,935,63.26,6,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,12200,CHIRURGIA OGÓLNA - HOSPITALIZACJA,319,21.58,3,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,11899,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,126,8.53,3,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,12216,NEUROCHIRURGIA - HOSPITALIZACJA - ŚWIADCZENIA DIAGNOSTYKI I LECZENIA ONKOLOGICZNEGO - POZA PAKIETEM ONKOLOGICZNYM,47,3.18,7,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,11947,OTORYNOLARYNGOLOGIA - HOSPITALIZACJA,33,2.23,3,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,11899,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,143,33.41,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,11920,NEUROCHIRURGIA - HOSPITALIZACJA,142,33.18,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,12117,CHIRURGIA SZCZĘKOWO-TWARZOWA - HOSPITALIZACJA,102,23.83,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,12200,CHIRURGIA OGÓLNA - HOSPITALIZACJA,18,4.21,1,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,12216,NEUROCHIRURGIA - HOSPITALIZACJA - ŚWIADCZENIA DIAGNOSTYKI I LECZENIA ONKOLOGICZNEGO - POZA PAKIETEM ONKOLOGICZNYM,9,2.1,10,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
,,11942,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,6,1.4,3,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2019,2019
