disease-code,disease-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
S06.5,Urazowy krwotok podtwardówkowy,4416,78.53,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2016,2016
S06.4,Krwotok nadtwardówkowy,580,10.31,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2016,2016
S06.2,Rozlany uraz mózgu,185,3.29,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2016,2016
S06.8,Inne urazy śródczaszkowe,176,3.13,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2016,2016
S06.3,Ogniskowy uraz mózgu,115,2.05,15,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2016,2016
T90.5,Następstwa urazu śródczaszkowego,284,57.49,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2016,2016
S02.0,Złamanie kości sklepienia czaszki,98,19.84,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2016,2016
S09.8,Inne określone urazy głowy,32,6.48,5,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2016,2016
S02.7,Wielokrotne złamania kości czaszki i twarzoczaszki,28,5.67,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2016,2016
S02.1,Złamanie kości podstawy czaszki,22,4.45,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2016,2016
S09.9,Nieokreślony uraz głowy,8,1.62,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2016,2016
S02.8,Złamanie innych kości czaszki i twarzoczaszki,6,1.21,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2016,2016
S07.1,Uraz zmiażdżeniowy czaszki,6,1.21,6,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2016,2016
