branch,hospital-types,contract-product-code,contract-product-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,10267,NEUROCHIRURGIA - HOSPITALIZACJA,4944,86.84,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2018,2018
,,10208,CHIRURGIA OGÓLNA - HOSPITALIZACJA,569,9.99,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2018,2018
,,10280,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,82,1.44,6,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2018,2018
,,10275,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,58,1.02,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2018,2018
,,10267,NEUROCHIRURGIA - HOSPITALIZACJA,344,53.09,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2018,2018
,,10215,CHIRURGIA DZIECIĘCA - HOSPITALIZACJA,18,2.78,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2018,2018
,,10208,CHIRURGIA OGÓLNA - HOSPITALIZACJA,20,3.09,14,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2018,2018
,,10275,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,255,39.35,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2018,2018
,,10280,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,8,1.23,5,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2018,2018
,,10271,NEUROCHIRURGIA - HOSPITALIZACJA - A03,412,93.21,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2018,2018
