catalog,name,year,period,id,header,type,link
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2020,2020,55abd318-1df6-65c0-b99a-72a1ebf1610b,Procedury ICD 9,icd-9-procedures,https://api.nfz.gov.pl/app-stat-api-jgp/icd9-procedures/55abd318-1df6-65c0-b99a-72a1ebf1610b?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2020,2020,9b92d888-38c6-969e-82a2-45b4efa5b608,Liczba hospitalizacji ze względu na tryb wypisu pacjenta,hospitalization-by-discharge,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-discharge-type/9b92d888-38c6-969e-82a2-45b4efa5b608?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2020,2020,86ab8c63-a259-24a0-80ae-8a6f405ad929,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta,hospitalization-by-admission,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-admission-type/86ab8c63-a259-24a0-80ae-8a6f405ad929?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2020,2020,052841d8-10cc-5147-0e30-0f23b1bc03a0,Procedury ICD 9  - Kody listy kierunkowej,icd-9-procedures,https://api.nfz.gov.pl/app-stat-api-jgp/icd9-procedures/052841d8-10cc-5147-0e30-0f23b1bc03a0?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2020,2020,8b154410-9b83-0845-5967-f8e2fba985de,Liczba hospitalizacji i czas pobytu pacjenta ze względu na płeć pacjenta,hospitalization-by-gender,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-patient-gender/8b154410-9b83-0845-5967-f8e2fba985de?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2020,2020,ad877985-f659-9c6d-654c-234c9011ac7e,Dane ogólne,general-data,https://api.nfz.gov.pl/app-stat-api-jgp/basic-data/ad877985-f659-9c6d-654c-234c9011ac7e?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2020,2020,1afdd5ee-04e7-f2e9-cea6-8dbc017611a1,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta - kategoryzacja NFZ,hospitalization-by-admission-nfz,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-admission-type-nfz-categorized/1afdd5ee-04e7-f2e9-cea6-8dbc017611a1?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2020,2020,c39d81f0-c658-5e45-58ac-5f34207b4ee3,Liczba hospitalizacji i czas pobytu ze względu na zakres świadczeń,hospitalization-by-service,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-healthcare-service/c39d81f0-c658-5e45-58ac-5f34207b4ee3?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2020,2020,c6e1fecf-a32a-18fa-6992-b6d074e0a44f,Rozpoznania ICD 10  - Kody dodatkowe listy A01,icd-10-diseases,https://api.nfz.gov.pl/app-stat-api-jgp/icd10-diseases/c6e1fecf-a32a-18fa-6992-b6d074e0a44f?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2020,2020,3274aca5-f581-6698-9d49-6da61b7e2b26,Liczba hospitalizacji i czas pobytu ze względu na wiek pacjenta,hospitalization-by-age,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-patient-age/3274aca5-f581-6698-9d49-6da61b7e2b26?format=json
