branch,hospital-types,age-group-code,age-group-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,1,poniżej 1,15,0.27,13,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
,,2,1 - 6,34,0.61,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
,,5,41 - 60,1720,30.99,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
,,6,61 - 80,1989,35.84,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
,,7,81 i więcej,821,14.79,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
,,8,brak danych,5,0.09,2,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
,,3,7 - 17,112,2.02,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
,,4,18 - 40,854,15.39,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
,,1,poniżej 1,30,4.86,3,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
,,2,1 - 6,39,6.32,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
,,5,41 - 60,212,34.36,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
,,6,61 - 80,99,16.05,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
,,7,81 i więcej,15,2.43,10,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
,,8,brak danych,0,0.0,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
,,3,7 - 17,26,4.21,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
,,4,18 - 40,196,31.77,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
,,1,poniżej 1,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2012,2012
,,2,1 - 6,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2012,2012
,,5,41 - 60,125,44.33,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2012,2012
,,6,61 - 80,118,41.84,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2012,2012
,,7,81 i więcej,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2012,2012
,,8,brak danych,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2012,2012
,,3,7 - 17,5,1.77,6,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2012,2012
,,4,18 - 40,34,12.06,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2012,2012
,,1,poniżej 1,0,0.0,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2012,2012
,,2,1 - 6,0,0.0,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2012,2012
,,5,41 - 60,159,53.18,3,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2012,2012
,,6,61 - 80,90,30.1,3,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2012,2012
,,7,81 i więcej,1,0.33,4,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2012,2012
,,8,brak danych,0,0.0,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2012,2012
,,3,7 - 17,4,1.34,1,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2012,2012
,,4,18 - 40,45,15.05,3,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2012,2012
,,1,poniżej 1,46,0.64,11,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,2,1 - 6,98,1.36,14,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,5,41 - 60,3050,42.4,11,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,6,61 - 80,2400,33.37,11,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,7,81 i więcej,151,2.1,12,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,8,brak danych,0,0.0,0,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,3,7 - 17,181,2.52,15,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4,18 - 40,1267,17.61,10,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,1,poniżej 1,74,1.26,9,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,2,1 - 6,267,4.54,9,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,5,41 - 60,2102,35.73,11,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,6,61 - 80,2003,34.05,12,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,7,81 i więcej,173,2.94,11,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,8,brak danych,0,0.0,0,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,3,7 - 17,324,5.51,10,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4,18 - 40,940,15.98,10,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,1,poniżej 1,79,4.67,8,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,2,1 - 6,119,7.04,6,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,5,41 - 60,485,28.68,7,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,6,61 - 80,446,26.37,4,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,7,81 i więcej,62,3.67,4,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,8,brak danych,0,0.0,0,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,3,7 - 17,167,9.88,7,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4,18 - 40,333,19.69,7,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,1,poniżej 1,5,1.66,3,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,2,1 - 6,6,1.99,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,5,41 - 60,79,26.25,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,6,61 - 80,36,11.96,3,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,7,81 i więcej,3,1.0,3,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,8,brak danych,0,0.0,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,3,7 - 17,27,8.97,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4,18 - 40,145,48.17,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,1,poniżej 1,22,0.16,14,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,2,1 - 6,48,0.35,9,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,5,41 - 60,6363,46.5,7,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,6,61 - 80,2671,19.52,8,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,7,81 i więcej,113,0.83,10,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,8,brak danych,0,0.0,0,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,3,7 - 17,148,1.08,8,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,4,18 - 40,4320,31.57,5,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,1,poniżej 1,0,0.0,0,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,2,1 - 6,0,0.0,0,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,5,41 - 60,1438,46.34,7,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,6,61 - 80,371,11.96,8,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,7,81 i więcej,3,0.1,18,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,8,brak danych,0,0.0,0,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,3,7 - 17,11,0.35,5,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,4,18 - 40,1280,41.25,6,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,1,poniżej 1,0,0.0,0,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,2,1 - 6,0,0.0,0,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,5,41 - 60,3,30.0,10,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,6,61 - 80,4,40.0,6,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,7,81 i więcej,0,0.0,0,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,8,brak danych,0,0.0,0,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,3,7 - 17,0,0.0,0,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,4,18 - 40,3,30.0,8,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,1,poniżej 1,0,0.0,0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,2,1 - 6,16,0.21,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,5,41 - 60,3802,50.01,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,6,61 - 80,2156,28.36,1,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,7,81 i więcej,257,3.38,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,8,brak danych,0,0.0,0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,3,7 - 17,85,1.12,3,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,4,18 - 40,1286,16.92,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,1,poniżej 1,0,0.0,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2012,2012
,,2,1 - 6,0,0.0,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2012,2012
,,5,41 - 60,706,42.87,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2012,2012
,,6,61 - 80,528,32.06,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2012,2012
,,7,81 i więcej,69,4.19,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2012,2012
,,8,brak danych,0,0.0,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2012,2012
,,3,7 - 17,84,5.1,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2012,2012
