branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,5432,5568,1.02,0.08,1.23,9,7,16686.36,376.71,7776.51,150.15,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
,,538,548,1.02,0.01,0.12,8,8,10171.85,197.57,6916.32,134.3,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
,,265,331,1.25,0.0,0.07,4,3,48882.77,940.05,48880.0,940.0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2014,2014
,,317,344,1.09,0.0,0.08,3,2,32539.71,626.66,32453.4,625.0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2014,2014
,,7341,7534,1.03,0.1,1.66,11,8,18658.02,384.76,15567.03,300.45,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2014,2014
,,5463,5759,1.05,0.08,1.27,10,8,14774.8,341.16,10335.59,199.53,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2014,2014
,,1693,1820,1.08,0.03,0.4,6,2,8294.91,188.16,6180.43,119.52,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2014,2014
,,536,557,1.04,0.01,0.12,1,0,1591.4,30.63,1522.99,29.31,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2014,2014
,,15038,15303,1.02,0.21,3.37,6,4,11598.67,244.61,11466.89,223.25,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2014,2014
,,2687,2714,1.01,0.04,0.6,6,3,6717.07,143.22,6694.96,128.9,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2014,2014
,,27,27,1.0,0.0,0.01,5,5,1587.89,30.67,1587.89,30.67,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2014,2014
,,6948,7468,1.07,0.1,1.64,2,2,4657.37,90.7,4655.52,90.23,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2014,2014
,,1710,1933,1.13,0.03,0.43,0,0,570.77,11.01,570.49,11.0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2014,2014
,,3167,3232,1.02,0.04,0.71,8,7,9839.72,231.97,5652.31,109.86,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2014,2014
,,15307,16224,1.06,0.23,3.57,5,2,3279.95,67.9,1496.68,28.98,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2014,2014
,,1906,2235,1.17,0.03,0.49,6,2,7532.78,172.32,3051.37,59.05,A32 CHOROBY MIĘŚNI,1a,2014,2014
,,7511,7545,1.0,0.1,1.66,4,3,1651.45,31.9,1644.73,31.77,A33 ZABURZENIA RÓWNOWAGI,1a,2014,2014
,,4869,5572,1.14,0.08,1.23,2,2,1545.73,43.89,1398.02,27.0,A34C GUZY MÓZGU I RDZENIA KRĘGOWEGO,1a,2014,2014
,,11093,11891,1.07,0.17,2.62,8,4,4543.86,95.89,4448.9,85.91,A34D GUZY MÓZGU I RDZENIA KRĘGOWEGO>3 DNI,1a,2014,2014
,,4150,4507,1.09,0.06,0.99,3,2,1896.59,60.83,1469.22,28.46,A35C CHOROBY ZWYRODNIENIOWE OUN,1a,2014,2014
,,2398,2435,1.02,0.03,0.54,7,4,3261.04,64.51,3230.9,63.47,A35D CHOROBY ZWYRODNIENIOWE OUN>3 DNI,1a,2014,2014
,,11430,15112,1.32,0.21,3.33,4,4,3738.71,123.59,3484.2,67.31,A36 CHOROBY DEMIELINIZACYJNE,1a,2014,2014
,,30543,32334,1.06,0.45,7.12,6,4,3460.95,89.52,3033.0,58.56,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2014,2014
,,15053,15339,1.02,0.21,3.38,5,4,1985.15,40.16,1882.98,36.49,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2014,2014
,,27573,27937,1.01,0.39,6.15,5,4,3861.38,76.17,3853.16,74.43,A47 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU - ROZSZERZONA DIAGNOSTYKA,1a,2014,2014
,,45050,46093,1.02,0.64,10.15,10,8,8970.2,319.49,8562.4,164.92,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2014,2014
,,22221,22502,1.01,0.31,4.95,9,8,4539.41,189.74,4100.2,79.26,A49 UDAR MÓZGU - LECZENIE > 3 DNI,1a,2014,2014
,,15381,15661,1.02,0.22,3.45,4,1,3297.5,81.59,1955.61,37.87,A50 UDAR MÓZGU - LECZENIE,1a,2014,2014
,,5632,5656,1.0,0.08,1.25,10,8,13280.79,432.47,12714.1,244.91,A51 UDAR MÓZGU - LECZENIE TROMBOLITYCZNE > 7 DNI W ODDZIALE UDAROWYM,1a,2014,2014
,,3605,3696,1.03,0.05,0.81,6,4,1669.65,32.24,1649.9,31.86,A56 CHOROBY NERWÓW CZASZKOWYCH,1a,2014,2014
