catalog,name,year,period,id,header,type,link
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2011,2011,33323230-3333-5254-4350-503030303030,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta,hospitalization-by-admission,/hospitalizations-by-admission-type/33323230-3333-5254-4350-503030303030
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2011,2011,33323230-3333-5254-4150-503030303030,Dane ogólne,general-data,/basic-data/33323230-3333-5254-4150-503030303030
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2011,2011,33323230-3333-5254-4450-503030303030,Liczba hospitalizacji ze względu na tryb wypisu pacjenta,hospitalization-by-discharge,/hospitalizations-by-discharge-type/33323230-3333-5254-4450-503030303030
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2011,2011,33323230-3333-5254-4250-503030303030,Liczba hospitalizacji i czas pobytu pacjenta ze względu na płeć pacjenta,hospitalization-by-gender,/hospitalizations-by-patient-gender/33323230-3333-5254-4250-503030303030
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2011,2011,33323230-3333-5254-4950-503030303030,Kategorie produktów sumowanych do JGP - kategoryzacja NFZ,product-categories,/hospitalizations-by-product-category/33323230-3333-5254-4950-503030303030
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2011,2011,33323230-3333-3265-4130-313030303030,Rozpoznania ICD 10  - Kody dodatkowe listy A01,icd-10-diseases,/icd10-diseases/33323230-3333-3265-4130-313030303030
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2011,2011,33323230-3333-5254-4a50-503030303030,Histogram czasu pobytu,histograms,/histogram-data/33323230-3333-5254-4a50-503030303030
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2011,2011,33323230-3333-5254-4850-503030303030,Liczba hospitalizacji i czas pobytu ze względu na zakres świadczeń,hospitalization-by-service,/hospitalizations-by-healthcare-service/33323230-3333-5254-4850-503030303030
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2011,2011,33323230-3333-3330-3030-303030303030,Procedury ICD 9,icd-9-procedures,/icd9-procedures/33323230-3333-3330-3030-303030303030
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2011,2011,33323230-3333-5254-4b50-503030303030,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta - kategoryzacja NFZ,hospitalization-by-admission-nfz,/hospitalizations-by-admission-type-nfz-categorized/33323230-3333-5254-4b50-503030303030
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2011,2011,33323230-3333-5254-4750-503030303030,Liczba hospitalizacji i czas pobytu ze względu na wiek pacjenta,hospitalization-by-age,/hospitalizations-by-patient-age/33323230-3333-5254-4750-503030303030
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2011,2011,33323230-3333-3165-4130-323030303030,Procedury ICD 9  - Kody listy kierunkowej,icd-9-procedures,/icd9-procedures/33323230-3333-3165-4130-323030303030
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2011,2011,33323230-3334-5254-4350-503030303030,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta,hospitalization-by-admission,/hospitalizations-by-admission-type/33323230-3334-5254-4350-503030303030
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2011,2011,33323230-3334-5254-4150-503030303030,Dane ogólne,general-data,/basic-data/33323230-3334-5254-4150-503030303030
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2011,2011,33323230-3334-5254-4250-503030303030,Liczba hospitalizacji i czas pobytu pacjenta ze względu na płeć pacjenta,hospitalization-by-gender,/hospitalizations-by-patient-gender/33323230-3334-5254-4250-503030303030
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2011,2011,33323230-3334-5254-4450-503030303030,Liczba hospitalizacji ze względu na tryb wypisu pacjenta,hospitalization-by-discharge,/hospitalizations-by-discharge-type/33323230-3334-5254-4450-503030303030
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2011,2011,33323230-3334-3265-4130-323030303030,Rozpoznania ICD 10  - Kody dodatkowe listy A02,icd-10-diseases,/icd10-diseases/33323230-3334-3265-4130-323030303030
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2011,2011,33323230-3334-3165-4130-323030303030,Procedury ICD 9  - Kody listy kierunkowej,icd-9-procedures,/icd9-procedures/33323230-3334-3165-4130-323030303030
