branch,hospital-types,type-of-discharge-code,type-of-discharge-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,1,zakończenie procesu terapeutycznego lub diagnostycznego,1471,25.07,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,2,skierowanie do dalszego leczenia w lecznictwie ambulatoryjnym,1999,34.07,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,3,skierowanie do dalszego leczenia w innym szpitalu,999,17.02,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,4,skierowanie do dalszego leczenia w innym niż szpital zakładzie opieki stacjonarnej,126,2.15,29,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,6,wypisanie na własne żądanie,30,0.51,7,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,7,osoba leczona samowolnie opuściła zakład opieki stacjonarnej przed zakończeniem procesu terapeutycznego lub diagnostycznego,5,0.09,6,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,8,wypisanie na podstawie art. 22 ust. 1 pkt 3 ustawy z dnia 30 sierpnia 1991 r. o zakładach opieki zdrowotnej,1,0.02,17,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,9,zgon pacjenta,1237,21.08,5,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,1,zakończenie procesu terapeutycznego lub diagnostycznego,168,28.19,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,2,skierowanie do dalszego leczenia w lecznictwie ambulatoryjnym,343,57.55,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,3,skierowanie do dalszego leczenia w innym szpitalu,43,7.21,13,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,4,skierowanie do dalszego leczenia w innym niż szpital zakładzie opieki stacjonarnej,4,0.67,42,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,6,wypisanie na własne żądanie,1,0.17,13,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,7,osoba leczona samowolnie opuściła zakład opieki stacjonarnej przed zakończeniem procesu terapeutycznego lub diagnostycznego,1,0.17,6,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,8,wypisanie na podstawie art. 22 ust. 1 pkt 3 ustawy z dnia 30 sierpnia 1991 r. o zakładach opieki zdrowotnej,1,0.17,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,9,zgon pacjenta,35,5.87,10,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,1,zakończenie procesu terapeutycznego lub diagnostycznego,90,35.86,7,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2011,2011
,,2,skierowanie do dalszego leczenia w lecznictwie ambulatoryjnym,159,63.35,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2011,2011
,,3,skierowanie do dalszego leczenia w innym szpitalu,1,0.4,17,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2011,2011
,,4,skierowanie do dalszego leczenia w innym niż szpital zakładzie opieki stacjonarnej,1,0.4,3,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2011,2011
,,6,wypisanie na własne żądanie,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2011,2011
,,7,osoba leczona samowolnie opuściła zakład opieki stacjonarnej przed zakończeniem procesu terapeutycznego lub diagnostycznego,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2011,2011
,,8,wypisanie na podstawie art. 22 ust. 1 pkt 3 ustawy z dnia 30 sierpnia 1991 r. o zakładach opieki zdrowotnej,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2011,2011
,,9,zgon pacjenta,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2011,2011
,,1,zakończenie procesu terapeutycznego lub diagnostycznego,82,29.18,6,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2011,2011
,,2,skierowanie do dalszego leczenia w lecznictwie ambulatoryjnym,198,70.46,4,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2011,2011
,,3,skierowanie do dalszego leczenia w innym szpitalu,1,0.36,125,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2011,2011
,,4,skierowanie do dalszego leczenia w innym niż szpital zakładzie opieki stacjonarnej,0,0.0,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2011,2011
,,6,wypisanie na własne żądanie,0,0.0,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2011,2011
