branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,5308,5426,1.02,0.08,1.1,9,7,13465.75,291.14,7669.96,150.68,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,588,603,1.03,0.01,0.12,9,8,8774.96,194.42,6811.51,134.19,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,151,223,1.48,0.0,0.05,4,4,47113.47,940.0,47113.47,940.0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2010,2010
,,159,166,1.04,0.0,0.03,7,2,31879.01,625.15,31871.23,625.0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2010,2010
,,6434,6611,1.03,0.09,1.34,11,8,17702.17,392.66,15459.56,303.44,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2010,2010
,,5642,5930,1.05,0.08,1.2,12,8,13093.25,290.42,10304.41,202.28,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2010,2010
,,1456,1511,1.04,0.02,0.31,7,2,7351.73,161.33,6147.19,121.43,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2010,2010
,,383,391,1.02,0.01,0.08,3,2,1779.45,34.96,1570.83,30.87,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2010,2010
,,10787,11006,1.02,0.15,2.23,8,8,11490.07,248.18,11382.85,224.28,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2010,2010
,,4145,4197,1.01,0.06,0.85,7,4,6592.92,140.68,6559.81,129.14,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2010,2010
,,4616,4873,1.06,0.07,0.99,2,0,4672.9,92.62,4659.88,92.37,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2010,2010
,,872,1218,1.4,0.02,0.25,0,0,718.04,14.97,645.06,12.82,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2010,2010
,,2158,2217,1.03,0.03,0.45,9,8,8732.21,195.61,5555.15,109.76,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2010,2010
,,14680,15350,1.05,0.21,3.11,6,2,2447.25,54.33,1476.7,29.28,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2010,2010
,,1694,2057,1.21,0.03,0.42,6,2,6987.47,139.31,2957.78,58.41,A32 CHOROBY MIĘŚNI,1a,2010,2010
,,15988,16360,1.02,0.23,3.32,4,3,1663.25,33.76,1658.94,32.97,A33 ZABURZENIA RÓWNOWAGI,1a,2010,2010
,,14094,16470,1.17,0.23,3.34,6,2,4256.43,85.19,4135.86,81.62,A34 GUZY MÓZGU,1a,2010,2010
,,18590,19854,1.07,0.28,4.02,7,7,3468.84,72.24,3142.4,62.22,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2010,2010
,,10995,15137,1.38,0.21,3.07,5,4,3607.98,77.76,3401.41,67.11,A36 CHOROBY DEMIELINIZACYJNE,1a,2010,2010
,,24769,26214,1.06,0.37,5.31,6,3,3288.21,76.49,2972.89,58.65,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2010,2010
