disease-code,disease-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
S06.5,Urazowy krwotok podtwardówkowy,4464,77.06,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
S06.4,Krwotok nadtwardówkowy,639,11.03,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
S06.2,Rozlany uraz mózgu,185,3.19,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
S06.8,Inne urazy śródczaszkowe,179,3.09,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
S06.3,Ogniskowy uraz mózgu,155,2.68,13,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
S06.0,Wstrząśnienie,65,1.12,3,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
T90.5,Następstwa urazu śródczaszkowego,266,52.36,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
S09.8,Inne określone urazy głowy,89,17.52,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
S02.0,Złamanie kości sklepienia czaszki,78,15.35,6,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
S02.1,Złamanie kości podstawy czaszki,22,4.33,11,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
S02.7,Wielokrotne złamania kości czaszki i twarzoczaszki,16,3.15,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
S02.8,Złamanie innych kości czaszki i twarzoczaszki,11,2.17,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
S07.1,Uraz zmiażdżeniowy czaszki,11,2.17,4,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
G20,Choroba Parkinsona,262,66.67,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2017,2017
G40.8,Inne padaczki,34,8.65,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2017,2017
G25.0,Drżenie samoistne,17,4.33,6,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2017,2017
G24.8,Inne dystonie,15,3.82,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2017,2017
G24.9,"Dystonia, nie określona",12,3.05,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2017,2017
G40.4,Inne postacie uogólnionej padaczki i zespołów padaczkowych,9,2.29,3,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2017,2017
G40.3,Uogólniona samoistna padaczka i zespoły padaczkowe,7,1.78,3,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2017,2017
G40.2,Padaczka objawowa (ogniskowa) (częściowa) i zespoły padaczkowe ze złożonymi napadami częściowymi,6,1.53,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2017,2017
G25.2,Inne określone formy drżenia,5,1.27,6,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2017,2017
G24.2,Dystonia samoistna niedziedziczna,4,1.02,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2017,2017
G24.3,Kurczowy kręcz karku,4,1.02,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2017,2017
G40.5,Szczególne zespoły padaczkowe,4,1.02,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2017,2017
G20,Choroba Parkinsona,269,41.13,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2017,2017
G54.5,Nerwoból z zanikiem mięśni,222,33.94,3,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2017,2017
G24.9,"Dystonia, nie określona",32,4.89,1,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2017,2017
G54.6,Zespół bólu fantomowego kończyny z bólem,26,3.98,5,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2017,2017
G24.8,Inne dystonie,15,2.29,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2017,2017
G25.0,Drżenie samoistne,7,1.07,1,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2017,2017
G55.2,Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w zmianach zwyrodnieniowych kręgów (M47.-+),27,4.13,7,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2017,2017
G55.3,"Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w innych (dolegliwościach kręgosłupa) dorsopatiach (M45-M46, M48.-+, M53-M5",20,3.06,3,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2017,2017
G55.1,Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w zaburzeniach krążka międzykręgowego (M50-M51+),9,1.38,3,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2017,2017
D32.0,Nowotwór niezłośliwy (opony mózgowe),718,9.62,9,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
D35.2,Nowotwór niezłośliwy (przysadka),682,9.14,7,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
D33.0,"Nowotwór niezłośliwy (mózg, nadnamiotowe)",527,7.06,10,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71.1,Nowotwór złośliwy (płat czołowy),428,5.73,10,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71.2,Nowotwór złośliwy (płat skroniowy),327,4.38,10,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71.3,Nowotwór złośliwy (płat ciemienowy),284,3.81,10,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C79.3,Wtórny nowotwór złośliwy mózgu i opon mózgowych,243,3.26,9,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
D33.1,"Nowotwór niezłośliwy (mózg, podnamiotowe)",168,2.25,11,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71.9,"Nowotwór złośliwy (mózg, nie określony)",165,2.21,9,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
D33.3,Nowotwór niezłośliwy (nerwy czaszkowe),140,1.88,11,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71.6,Nowotwór złośliwy (móżdżek),133,1.78,12,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71.4,Nowotwór złośliwy (płat potyliczny),85,1.14,8,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71.0,Nowotwór złośliwy (mózg z wyjątkiem płatów i komór),76,1.02,14,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71.1,Nowotwór złośliwy (płat czołowy),504,8.64,9,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71.2,Nowotwór złośliwy (płat skroniowy),353,6.05,9,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
D33.0,"Nowotwór niezłośliwy (mózg, nadnamiotowe)",268,4.6,11,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71.3,Nowotwór złośliwy (płat ciemienowy),260,4.46,10,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C79.3,Wtórny nowotwór złośliwy mózgu i opon mózgowych,244,4.18,11,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71.9,"Nowotwór złośliwy (mózg, nie określony)",164,2.81,7,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71.6,Nowotwór złośliwy (móżdżek),144,2.47,11,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
D33.1,"Nowotwór niezłośliwy (mózg, podnamiotowe)",116,1.99,13,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71.4,Nowotwór złośliwy (płat potyliczny),113,1.94,10,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
D32.0,Nowotwór niezłośliwy (opony mózgowe),109,1.87,12,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71,Nowotwór złośliwy mózgu,86,1.47,6,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
C71.0,Nowotwór złośliwy (mózg z wyjątkiem płatów i komór),59,1.01,10,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
D33.4,Nowotwór niezłośliwy (rdzeń kręgowy),191,1.81,9,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2017,2017
G56.1,Inne uszkodzenia nerwu pośrodkowego,3598,42.54,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2017,2017
G56.2,Uszkodzenie nerwu łokciowego,1155,13.66,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2017,2017
G56.8,Inne mononeuropatie kończyny górnej,1138,13.46,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2017,2017
G54.4,Zaburzenia korzeni nerwów rdzeniowych lędźwiowo-krzyżowych niesklasyfikowanych gdzie indziej,437,5.17,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2017,2017
M79.2,"Nerwoból [neuralgia] i zapalenie nerwów, nie określone",336,3.97,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2017,2017
G64,Inne zaburzenia obwodowego układu nerwowego,290,3.43,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2017,2017
G54.1,Zaburzenia splotu lędźwiowo-krzyżowego,177,2.09,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2017,2017
G54.5,Nerwoból z zanikiem mięśni,164,1.94,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2017,2017
G57.8,Inne mononeuropatie kończyny dolnej,147,1.74,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2017,2017
G54.8,Inne zaburzenia korzeni nerwów rdzeniowych i splotów nerwowych,104,1.23,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2017,2017
D33.4,Nowotwór niezłośliwy (rdzeń kręgowy),25,1.19,8,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2017,2017
G62.9,"Polineuropatia, nie określona",1650,37.42,6,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2017,2017
G62.8,Inne określone polineuropatie,1358,30.8,7,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2017,2017
G70.0,Miastenia ciężka rzekomoporaźna,412,9.34,7,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2017,2017
G72.9,"Miopatia, nie określona",264,5.99,5,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2017,2017
G61.0,Zespół Gullaina-Barrego,208,4.72,13,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2017,2017
G71.9,"Pierwotne zaburzenia mięśni, nie określone",76,1.72,5,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2017,2017
G72.8,Inne określone miopatie,64,1.45,6,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2017,2017
G71.0,Dystrofia mięśniowa,56,1.27,5,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2017,2017
G62.2,Polineuropatia wywołana innymi czynnikami toksycznymi,54,1.22,7,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2017,2017
G61.8,Inne polineuropatie zakaźne,51,1.16,9,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2017,2017
G71.8,Inne pierwotne zaburzenia mięśni,44,1.0,6,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2017,2017
G54.4,Zaburzenia korzeni nerwów rdzeniowych lędźwiowo-krzyżowych niesklasyfikowanych gdzie indziej,4739,30.25,5,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
G54.2,Zaburzenia korzeni nerwów rdzeniowych szyjnych niesklasyfikowanych gdzie indziej,1524,9.73,4,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
G54.1,Zaburzenia splotu lędźwiowo-krzyżowego,1169,7.46,5,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
G62.8,Inne określone polineuropatie,886,5.66,5,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
G54.9,"Zaburzenia korzeni nerwów rdzeniowych i splotów nerwowych, nie określone",884,5.64,4,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
G62.9,"Polineuropatia, nie określona",710,4.53,5,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
G54.8,Inne zaburzenia korzeni nerwów rdzeniowych i splotów nerwowych,664,4.24,4,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
G54.3,Zaburzenia korzeni nerwów rdzeniowych piersiowych niesklasyfikowanych gdzie indziej,501,3.2,4,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
G57.3,Uszkodzenie nerwu strzałkowego wspólnego,370,2.36,5,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
M79.2,"Nerwoból [neuralgia] i zapalenie nerwów, nie określone",353,2.25,3,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
G54.0,Zaburzenia splotu ramiennego,323,2.06,4,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
E11.4,Cukrzyca insulinoniezależna (z powikłaniami neurologicznymi),300,1.91,6,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
G56.1,Inne uszkodzenia nerwu pośrodkowego,238,1.52,2,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
G56.2,Uszkodzenie nerwu łokciowego,214,1.37,3,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
E10.4,Cukrzyca insulinozależna (z powikłaniami neurologicznymi),194,1.24,6,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
G61.0,Zespół Gullaina-Barrego,195,1.24,8,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
