procedure-code,procedure-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
01.247,Kraniotomia z usunięciem krwiaka podtwardówkowego,2907,52.21,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
01.243,Trepanacja czaszki,1656,29.74,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
01.245,Kraniotomia z usunięciem krwiaka nadtwardówkowego,769,13.81,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
01.092,Aspiracja przestrzeni podtwardówkowej,182,3.27,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
01.248,Kraniotomia z usunięciem krwiaka śródmózgowego,113,2.03,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
01.23,Powtórne otwarcie w miejscu kraniotomii,106,1.9,16,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
01.18,Inne zabiegi diagnostyczne mózgu i opon mózgowych,59,1.06,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2014,2014
02.051,Założenie płytki sztucznej do czaszki,180,32.85,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
01.247,Kraniotomia z usunięciem krwiaka podtwardówkowego,51,9.31,14,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
02.022,Odbarczenie złamania czaszki,46,8.39,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
01.093,Inne aspiracje w zakresie czaszki,38,6.93,5,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
02.021,Chirurgiczne opracowanie złożonego złamania czaszki,35,6.39,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
02.04,Przeszczep kostny do kości czaszki,33,6.02,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2014,2014
