branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,5502,5640,1.03,0.08,1.16,9,7,15667.82,367.0,7631.86,146.83,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2013,2013
,,493,509,1.03,0.01,0.1,8,8,9378.34,209.78,7066.95,136.01,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2013,2013
,,215,285,1.33,0.0,0.06,5,3,48881.27,940.02,48880.0,940.0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2013,2013
,,310,327,1.05,0.0,0.07,4,2,32624.86,628.0,32468.65,625.0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2013,2013
,,7396,7588,1.03,0.11,1.56,11,8,18480.15,408.96,15595.75,300.21,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,5314,5573,1.05,0.08,1.15,11,8,14529.37,314.61,10379.74,199.71,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,1690,1810,1.07,0.03,0.37,6,2,7776.59,191.48,6242.11,120.12,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,264,268,1.02,0.0,0.06,2,1,1760.14,33.91,1547.79,29.82,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,14176,14469,1.02,0.2,2.98,6,4,11708.22,248.49,11572.61,223.42,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,2786,2818,1.01,0.04,0.58,7,4,6729.37,133.27,6723.23,129.42,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,16,16,1.0,0.0,0.0,6,6,1612.0,31.0,1612.0,31.0,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,5845,6218,1.06,0.09,1.28,2,2,4523.09,87.8,4519.69,87.04,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2013,2013
,,1390,1660,1.19,0.02,0.34,0,0,595.68,11.48,571.12,11.0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2013,2013
,,2868,2950,1.03,0.04,0.61,8,7,10585.05,232.78,5706.16,109.91,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2013,2013
,,13588,14546,1.07,0.2,2.99,5,2,3276.36,77.51,1511.49,29.12,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2013,2013
,,1712,2054,1.2,0.03,0.42,6,3,7748.36,149.22,3024.77,58.35,A32 CHOROBY MIĘŚNI,1a,2013,2013
,,18160,18589,1.02,0.26,3.82,3,3,1621.08,31.47,1613.38,31.07,A33 ZABURZENIA RÓWNOWAGI,1a,2013,2013
,,15542,18149,1.17,0.25,3.73,6,2,4366.75,91.47,4226.76,81.4,A34 GUZY MÓZGU,1a,2013,2013
,,20289,21692,1.07,0.3,4.46,6,7,3699.17,77.99,3191.92,61.6,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2013,2013
,,11158,15197,1.36,0.21,3.13,4,4,3672.1,117.34,3475.59,66.91,A36 CHOROBY DEMIELINIZACYJNE,1a,2013,2013
,,23898,25145,1.05,0.35,5.17,6,3,3458.09,86.72,3047.06,58.72,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2013,2013
,,10106,10335,1.02,0.14,2.13,5,4,1931.72,38.14,1887.8,36.36,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2013,2013
,,33777,34352,1.02,0.48,7.07,5,4,3865.59,74.95,3856.05,74.27,A47 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU - ROZSZERZONA DIAGNOSTYKA,1a,2013,2013
,,47653,48908,1.03,0.68,10.05,10,8,8955.26,338.1,8557.23,164.66,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2013,2013
,,24702,25117,1.02,0.35,5.16,8,7,4442.86,135.3,4096.51,78.86,A49 UDAR MÓZGU - LECZENIE > 3 DNI,1a,2013,2013
,,13636,13894,1.02,0.19,2.86,3,1,3300.21,71.73,1952.13,37.61,A50 UDAR MÓZGU - LECZENIE,1a,2013,2013
,,4418,4432,1.0,0.06,0.99,10,8,13303.46,532.84,12663.05,243.71,A51 UDAR MÓZGU - LECZENIE TROMBOLITYCZNE > 7 DNI W ODDZIALE UDAROWYM,1a,2013,2013
,,3636,3714,1.02,0.05,0.76,6,4,1689.01,32.54,1649.97,31.79,A56 CHOROBY NERWÓW CZASZKOWYCH,1a,2013,2013
,,5019,6074,1.21,0.08,1.25,10,2,5029.97,119.16,3883.73,74.73,A57 CHOROBY ZAPALNE UKŁADU NERWOWEGO,1a,2013,2013
,,1936,2037,1.05,0.03,0.42,4,2,3949.9,80.7,2267.87,43.65,A58 ENCEFALOPATIA,1a,2013,2013
,,26779,27291,1.02,0.38,5.61,3,2,1420.05,27.55,1387.37,26.72,A59 BÓLE GŁOWY,1a,2013,2013
,,11661,12813,1.1,0.18,2.64,3,2,1086.61,21.82,830.11,16.0,A66 PADACZKA - DIAGNOSTYKA I LECZENIE,1a,2013,2013
,,12403,12781,1.03,0.18,2.63,6,4,4292.89,83.29,4118.91,79.27,A67 PADACZKA - DIAGNOSTYKA I LECZENIE > 3 DNI,1a,2013,2013
,,34560,35108,1.02,0.49,7.22,3,2,1902.17,42.13,1552.45,29.89,A76 URAZY GŁOWY Z ISTOTNYM USZKODZENIEM MÓZGU LECZONE ZACHOWAWCZO,1a,2013,2013
,,23550,23778,1.01,0.33,4.89,1,1,853.82,16.45,832.93,16.03,A77 URAZY GŁOWY BEZ ISTOTNEGO USZKODZENIA MÓZGU LECZONE ZACHOWAWCZO,1a,2013,2013
,,995,1158,1.16,0.02,0.24,7,7,6194.81,123.17,4348.58,83.74,A86 CHOROBY NEURONU RUCHOWEGO,1a,2013,2013
,,56405,58896,1.04,0.82,12.11,5,2,1760.61,45.77,1584.14,30.52,A87 INNE CHOROBY UKŁADU NERWOWEGO,1a,2013,2013
,,158,195,1.23,0.0,0.06,1,2,7176.0,138.0,7176.0,138.0,B01 LECZENIE WYSIĘKOWEJ POSTACI AMD WERTEPORFINĄ PRZY ZASTOSOWANIU TERAPII FOTODYNAMICZNEJ,1a,2013,2013
