branch,hospital-types,type-of-discharge-code,type-of-discharge-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,1,zakończenie procesu terapeutycznego lub diagnostycznego,974,21.06,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,11,wypisanie na podstawie art. 46 albo 47 ustawy z dnia 22 listopada 2013 r.,1,0.02,31,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,2,skierowanie do dalszego leczenia w lecznictwie ambulatoryjnym,1675,36.22,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,3,skierowanie do dalszego leczenia w innym szpitalu,526,11.37,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,4,"skierowanie do dalszego leczenia w innym niż szpital, zakładzie opieki stacjonarnej",162,3.5,33,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,6,wypisanie na własne żądanie,21,0.45,5,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,7,osoba leczona samowolnie opuściła zakład opieki stacjonarnej przed zakończeniem procesu terapeutycznego lub diagnostycznego,6,0.13,5,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,8,wypisanie na podstawie art. 22 ust. 1 pkt 3 ustawy o zakładach opieki zdrowotnej,1,0.02,4,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,9,zgon pacjenta,1259,27.22,6,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,1,zakończenie procesu terapeutycznego lub diagnostycznego,89,35.6,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,2,skierowanie do dalszego leczenia w lecznictwie ambulatoryjnym,130,52.0,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,3,skierowanie do dalszego leczenia w innym szpitalu,9,3.6,33,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,4,"skierowanie do dalszego leczenia w innym niż szpital, zakładzie opieki stacjonarnej",8,3.2,38,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,6,wypisanie na własne żądanie,1,0.4,15,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,9,zgon pacjenta,13,5.2,11,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,1,zakończenie procesu terapeutycznego lub diagnostycznego,148,32.1,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2021,2021
,,2,skierowanie do dalszego leczenia w lecznictwie ambulatoryjnym,308,66.81,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2021,2021
,,3,skierowanie do dalszego leczenia w innym szpitalu,3,0.65,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2021,2021
,,6,wypisanie na własne żądanie,1,0.22,7,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2021,2021
,,9,zgon pacjenta,1,0.22,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2021,2021
,,1,zakończenie procesu terapeutycznego lub diagnostycznego,257,29.54,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2021,2021
