branch,hospital-types,type-of-admission-code,type-of-admission-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,3,nagły,5126,92.91,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
,,1,planowe,391,7.09,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
,,3,nagły,403,68.42,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,1,planowe,186,31.58,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,3,nagły,17,8.59,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2009,2009
,,1,planowe,181,91.41,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2009,2009
,,3,nagły,14,14.74,10,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2009,2009
,,1,planowe,81,85.26,7,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2009,2009
,,3,nagły,2668,46.98,11,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,1,planowe,3011,53.02,12,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3,nagły,3977,58.34,12,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,1,planowe,2840,41.66,12,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3,nagły,747,50.27,8,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,1,planowe,739,49.73,8,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3,nagły,102,20.69,7,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,1,planowe,391,79.31,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,3,nagły,3235,30.61,8,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,1,planowe,7332,69.39,8,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,3,nagły,1514,31.4,8,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,1,planowe,3307,68.6,7,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,3,nagły,903,20.08,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2009,2009
,,1,planowe,3595,79.92,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2009,2009
