branch,hospital-types,type-of-admission-code,type-of-admission-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,3,nagły,5212,92.41,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2013,2013
,,2,przeniesienie z innego szpitala,167,2.96,7,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2013,2013
,,1,planowe,261,4.63,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2013,2013
,,4,inne,0,0.0,0,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2013,2013
,,3,nagły,304,59.72,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2013,2013
,,2,przeniesienie z innego szpitala,4,0.79,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2013,2013
,,1,planowe,201,39.49,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2013,2013
,,4,inne,0,0.0,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2013,2013
,,3,nagły,28,9.82,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2013,2013
,,2,przeniesienie z innego szpitala,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2013,2013
,,1,planowe,257,90.18,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2013,2013
,,4,inne,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2013,2013
,,3,nagły,48,14.68,3,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2013,2013
,,2,przeniesienie z innego szpitala,0,0.0,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2013,2013
,,1,planowe,279,85.32,4,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2013,2013
,,4,inne,0,0.0,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2013,2013
,,3,nagły,3220,42.44,13,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,2,przeniesienie z innego szpitala,204,2.69,13,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,1,planowe,4163,54.86,10,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,4,inne,1,0.01,9,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,3,nagły,3234,58.03,12,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,2,przeniesienie z innego szpitala,147,2.64,11,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,1,planowe,2192,39.33,9,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,4,inne,0,0.0,0,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,3,nagły,752,41.55,7,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,2,przeniesienie z innego szpitala,27,1.49,10,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,1,planowe,1031,56.96,4,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,4,inne,0,0.0,0,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,3,nagły,68,25.37,4,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,2,przeniesienie z innego szpitala,1,0.37,6,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,1,planowe,199,74.25,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,4,inne,0,0.0,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2013,2013
,,3,nagły,3932,27.18,7,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,2,przeniesienie z innego szpitala,99,0.68,7,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,1,planowe,10438,72.14,6,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,4,inne,0,0.0,0,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,3,nagły,867,30.77,7,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,2,przeniesienie z innego szpitala,9,0.32,6,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,1,planowe,1942,68.91,6,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,4,inne,0,0.0,0,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,3,nagły,8,50.0,6,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,2,przeniesienie z innego szpitala,0,0.0,0,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,1,planowe,8,50.0,4,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,4,inne,0,0.0,0,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2013,2013
,,3,nagły,827,13.3,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2013,2013
,,2,przeniesienie z innego szpitala,11,0.18,3,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2013,2013
,,1,planowe,5380,86.52,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2013,2013
,,4,inne,0,0.0,0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2013,2013
,,3,nagły,176,10.6,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2013,2013
,,2,przeniesienie z innego szpitala,0,0.0,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2013,2013
,,1,planowe,1484,89.4,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2013,2013
,,4,inne,0,0.0,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2013,2013
,,3,nagły,1415,47.97,10,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2013,2013
,,2,przeniesienie z innego szpitala,7,0.24,18,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2013,2013
,,1,planowe,1527,51.76,7,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2013,2013
,,4,inne,1,0.03,8,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2013,2013
,,3,nagły,8413,57.84,6,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2013,2013
,,2,przeniesienie z innego szpitala,18,0.12,11,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2013,2013
,,1,planowe,6115,42.04,4,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2013,2013
,,4,inne,0,0.0,0,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2013,2013
,,3,nagły,1041,50.68,7,A32 CHOROBY MIĘŚNI,1a,2013,2013
,,2,przeniesienie z innego szpitala,10,0.49,10,A32 CHOROBY MIĘŚNI,1a,2013,2013
,,1,planowe,1003,48.83,5,A32 CHOROBY MIĘŚNI,1a,2013,2013
,,4,inne,0,0.0,0,A32 CHOROBY MIĘŚNI,1a,2013,2013
,,3,nagły,12658,68.09,4,A33 ZABURZENIA RÓWNOWAGI,1a,2013,2013
,,2,przeniesienie z innego szpitala,4,0.02,2,A33 ZABURZENIA RÓWNOWAGI,1a,2013,2013
,,1,planowe,5926,31.88,2,A33 ZABURZENIA RÓWNOWAGI,1a,2013,2013
,,4,inne,1,0.01,6,A33 ZABURZENIA RÓWNOWAGI,1a,2013,2013
,,3,nagły,12757,70.29,7,A34 GUZY MÓZGU,1a,2013,2013
,,2,przeniesienie z innego szpitala,51,0.28,7,A34 GUZY MÓZGU,1a,2013,2013
,,1,planowe,5340,29.42,3,A34 GUZY MÓZGU,1a,2013,2013
,,4,inne,1,0.01,18,A34 GUZY MÓZGU,1a,2013,2013
,,3,nagły,13180,60.76,7,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2013,2013
,,2,przeniesienie z innego szpitala,31,0.14,9,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2013,2013
,,1,planowe,8478,39.08,6,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2013,2013
,,4,inne,3,0.01,4,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2013,2013
,,3,nagły,8020,52.77,5,A36 CHOROBY DEMIELINIZACYJNE,1a,2013,2013
,,2,przeniesienie z innego szpitala,13,0.09,7,A36 CHOROBY DEMIELINIZACYJNE,1a,2013,2013
,,1,planowe,7164,47.14,4,A36 CHOROBY DEMIELINIZACYJNE,1a,2013,2013
,,4,inne,0,0.0,0,A36 CHOROBY DEMIELINIZACYJNE,1a,2013,2013
,,3,nagły,18136,72.13,6,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2013,2013
,,2,przeniesienie z innego szpitala,111,0.44,8,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2013,2013
,,1,planowe,6897,27.43,5,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2013,2013
,,4,inne,1,0.0,4,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2013,2013
,,3,nagły,8605,83.26,5,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2013,2013
,,2,przeniesienie z innego szpitala,9,0.09,5,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2013,2013
,,1,planowe,1721,16.65,5,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2013,2013
,,4,inne,0,0.0,0,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2013,2013
,,3,nagły,29352,85.44,5,A47 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU - ROZSZERZONA DIAGNOSTYKA,1a,2013,2013
