catalog,name,year,period,id,header,type,link
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2022,2022,6de14ec2-0fee-4abc-a293-ea579aba2035,Procedury ICD 9,icd-9-procedures,https://api.nfz.gov.pl/app-stat-api-jgp/icd9-procedures/6de14ec2-0fee-4abc-a293-ea579aba2035?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2022,2022,6f920b2d-3a02-8d27-03c2-9e9804e14321,Rozpoznania ICD 10  - Kody dodatkowe listy A01,icd-10-diseases,https://api.nfz.gov.pl/app-stat-api-jgp/icd10-diseases/6f920b2d-3a02-8d27-03c2-9e9804e14321?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2022,2022,1ab04ef7-8d33-c66a-4073-634b29391338,Liczba hospitalizacji i czas pobytu ze względu na zakres świadczeń,hospitalization-by-service,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-healthcare-service/1ab04ef7-8d33-c66a-4073-634b29391338?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2022,2022,f45bd722-5550-e28d-0444-badc4d4472cd,Liczba hospitalizacji i czas pobytu pacjenta ze względu na płeć pacjenta,hospitalization-by-gender,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-patient-gender/f45bd722-5550-e28d-0444-badc4d4472cd?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2022,2022,a2cb10a2-cd8e-8525-5997-bc332e021df8,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta - kategoryzacja NFZ,hospitalization-by-admission-nfz,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-admission-type-nfz-categorized/a2cb10a2-cd8e-8525-5997-bc332e021df8?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2022,2022,c7aeac54-3eb6-dc1f-631c-7a3bbd9c5299,Dane ogólne,general-data,https://api.nfz.gov.pl/app-stat-api-jgp/basic-data/c7aeac54-3eb6-dc1f-631c-7a3bbd9c5299?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2022,2022,0d97b031-7da0-7b58-01d5-77683f67110f,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta,hospitalization-by-admission,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-admission-type/0d97b031-7da0-7b58-01d5-77683f67110f?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2022,2022,861e5af2-4895-af00-c465-640d113a7e34,Liczba hospitalizacji ze względu na tryb wypisu pacjenta,hospitalization-by-discharge,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-discharge-type/861e5af2-4895-af00-c465-640d113a7e34?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2022,2022,d5ea372a-0fee-4abc-a293-ea579aba2035,Procedury ICD 9  - Kody listy kierunkowej,icd-9-procedures,https://api.nfz.gov.pl/app-stat-api-jgp/icd9-procedures/d5ea372a-0fee-4abc-a293-ea579aba2035?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2022,2022,1d602d68-5d48-52e7-15b7-4455a853c365,Histogram czasu pobytu,histograms,https://api.nfz.gov.pl/app-stat-api-jgp/histogram-data/1d602d68-5d48-52e7-15b7-4455a853c365?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2022,2022,452a499c-9401-7f4c-d68e-b5c6f59d7694,Kategorie produktów sumowanych do JGP - kategoryzacja NFZ,product-categories,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-product-category/452a499c-9401-7f4c-d68e-b5c6f59d7694?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2022,2022,c0eac486-1d26-ce52-0726-677e4be80e78,Liczba hospitalizacji i czas pobytu ze względu na wiek pacjenta,hospitalization-by-age,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-patient-age/c0eac486-1d26-ce52-0726-677e4be80e78?format=json
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2022,2022,6d776003-d011-a84f-27c5-db24f5db6d41,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta,hospitalization-by-admission,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-admission-type/6d776003-d011-a84f-27c5-db24f5db6d41?format=json
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2022,2022,d7c0926c-ab8a-3687-7809-b579aa519b0b,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta - kategoryzacja NFZ,hospitalization-by-admission-nfz,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-admission-type-nfz-categorized/d7c0926c-ab8a-3687-7809-b579aa519b0b?format=json
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2022,2022,e0088873-e844-48f2-5f72-e003b2274761,Rozpoznania ICD 10  - Kody dodatkowe listy A02,icd-10-diseases,https://api.nfz.gov.pl/app-stat-api-jgp/icd10-diseases/e0088873-e844-48f2-5f72-e003b2274761?format=json
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2022,2022,8832ca03-da76-b5a4-4509-004bf478e3e1,Liczba hospitalizacji i czas pobytu ze względu na wiek pacjenta,hospitalization-by-age,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-patient-age/8832ca03-da76-b5a4-4509-004bf478e3e1?format=json
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2022,2022,bcff60a0-0990-6808-ffe5-481a9f606179,Histogram czasu pobytu,histograms,https://api.nfz.gov.pl/app-stat-api-jgp/histogram-data/bcff60a0-0990-6808-ffe5-481a9f606179?format=json
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2022,2022,75d7ea85-74f7-7fc0-007e-c1c2faabd8c6,Kategorie produktów sumowanych do JGP - kategoryzacja NFZ,product-categories,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-product-category/75d7ea85-74f7-7fc0-007e-c1c2faabd8c6?format=json
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2022,2022,7da53fe5-e7cd-1034-97cc-08646937f940,Dane ogólne,general-data,https://api.nfz.gov.pl/app-stat-api-jgp/basic-data/7da53fe5-e7cd-1034-97cc-08646937f940?format=json
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2022,2022,1a1743c8-200a-9a1b-2ffa-339222c6d053,Liczba hospitalizacji i czas pobytu pacjenta ze względu na płeć pacjenta,hospitalization-by-gender,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-patient-gender/1a1743c8-200a-9a1b-2ffa-339222c6d053?format=json
1a,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,2022,2022,5aa8647c-27d8-ac07-7ce0-52ff92168a70,Procedury ICD 9,icd-9-procedures,https://api.nfz.gov.pl/app-stat-api-jgp/icd9-procedures/5aa8647c-27d8-ac07-7ce0-52ff92168a70?format=json
