branch,hospital-types,age-group-code,age-group-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,1,poniżej 1,14,0.24,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
,,2,1 - 6,24,0.41,7,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
,,5,41 - 60,1542,26.62,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
,,6,61 - 80,2227,38.44,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
,,7,81 i więcej,1137,19.63,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
,,8,brak danych,0,0.0,0,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
,,3,7 - 17,82,1.42,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
,,4,18 - 40,767,13.24,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
,,1,poniżej 1,80,15.75,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
,,2,1 - 6,27,5.31,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
,,5,41 - 60,132,25.98,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
,,6,61 - 80,69,13.58,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
,,7,81 i więcej,18,3.54,14,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
,,8,brak danych,0,0.0,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
,,3,7 - 17,26,5.12,6,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
,,4,18 - 40,156,30.71,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
