disease-code,disease-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
S06.5,Urazowy krwotok podtwardówkowy,4221,74.84,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2013,2013
S06.4,Krwotok nadtwardówkowy,685,12.15,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2013,2013
S06.2,Rozlany uraz mózgu,210,3.72,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2013,2013
S06.3,Ogniskowy uraz mózgu,184,3.26,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2013,2013
S06.8,Inne urazy śródczaszkowe,179,3.17,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2013,2013
T90.5,Następstwa urazu śródczaszkowego,258,50.69,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2013,2013
S02.0,Złamanie kości sklepienia czaszki,110,21.61,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2013,2013
S02.1,Złamanie kości podstawy czaszki,47,9.23,11,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2013,2013
S09.8,Inne określone urazy głowy,43,8.45,5,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2013,2013
S02.7,Wielokrotne złamania kości czaszki i twarzoczaszki,20,3.93,12,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2013,2013
S02.8,Złamanie innych kości czaszki i twarzoczaszki,10,1.96,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2013,2013
S02.9,"Złamanie kości czaszki i twarzoczaszki, część nie określona",6,1.18,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2013,2013
G20,Choroba Parkinsona,221,77.54,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2013,2013
G24.8,Inne dystonie,16,5.61,7,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2013,2013
G25.0,Drżenie samoistne,13,4.56,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2013,2013
G24.9,"Dystonia, nie określona",9,3.16,3,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2013,2013
G40.3,Uogólniona samoistna padaczka i zespoły padaczkowe,5,1.75,6,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2013,2013
G24.3,Kurczowy kręcz karku,4,1.4,9,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2013,2013
G25.2,Inne określone formy drżenia,4,1.4,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2013,2013
G24.2,Dystonia samoistna niedziedziczna,4,1.4,7,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2013,2013
