branch,hospital-types,contract-product-code,contract-product-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,3639,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,694,12.79,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,3671,NEUROCHIRURGIA - HOSPITALIZACJA,4555,83.95,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,3680,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,88,1.62,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2010,2010
,,3671,NEUROCHIRURGIA - HOSPITALIZACJA,494,81.92,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,3704,OTORYNOLARYNGOLOGIA - HOSPITALIZACJA,6,1.0,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,3676,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,15,2.49,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,3643,CHIRURGIA DZIECIĘCA -  HOSPITALIZACJA,28,4.64,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,3639,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,50,8.29,10,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,3680,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,8,1.33,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2010,2010
,,3675,NEUROCHIRURGIA - HOSPITALIZACJA - A03,223,100.0,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2010,2010
