catalog,name,year,period,id,header,type,link
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2023,2023,378f5a76-cb5a-8455-1ba1-1598869f00f4,Liczba hospitalizacji i czas pobytu pacjenta ze względu na płeć pacjenta,hospitalization-by-gender,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-patient-gender/378f5a76-cb5a-8455-1ba1-1598869f00f4?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2023,2023,be198b63-03bd-8796-d0fd-4de6a451ed8c,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta,hospitalization-by-admission,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-admission-type/be198b63-03bd-8796-d0fd-4de6a451ed8c?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2023,2023,18c38b3e-73c1-2a87-e221-05f05c32a275,Kategorie produktów sumowanych do JGP - kategoryzacja NFZ,product-categories,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-product-category/18c38b3e-73c1-2a87-e221-05f05c32a275?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2023,2023,c1e3d46b-e009-cfe5-13d8-2d09e8265b06,Rozpoznania ICD 10,icd-10-diseases,https://api.nfz.gov.pl/app-stat-api-jgp/icd10-diseases/c1e3d46b-e009-cfe5-13d8-2d09e8265b06?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2023,2023,3e6f4b04-2b27-d359-8a24-f591a3d4aa3e,Liczba hospitalizacji i czas pobytu ze względu na wiek pacjenta,hospitalization-by-age,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-patient-age/3e6f4b04-2b27-d359-8a24-f591a3d4aa3e?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2023,2023,8aff1115-c0df-a10c-dd34-8164f8614140,Dane ogólne,general-data,https://api.nfz.gov.pl/app-stat-api-jgp/basic-data/8aff1115-c0df-a10c-dd34-8164f8614140?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2023,2023,adcbfe5f-41e0-ca59-81da-adbb0c5c3940,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta - kategoryzacja NFZ,hospitalization-by-admission-nfz,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-admission-type-nfz-categorized/adcbfe5f-41e0-ca59-81da-adbb0c5c3940?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2023,2023,408dbe29-13cd-5085-d168-a0ee4a89b82c,Liczba hospitalizacji ze względu na tryb wypisu pacjenta,hospitalization-by-discharge,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-discharge-type/408dbe29-13cd-5085-d168-a0ee4a89b82c?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2023,2023,253004b3-f7e3-fc36-eaa8-f04b6ef64640,Procedury ICD 9,icd-9-procedures,https://api.nfz.gov.pl/app-stat-api-jgp/icd9-procedures/253004b3-f7e3-fc36-eaa8-f04b6ef64640?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2023,2023,5221d56a-f7e3-fc36-eaa8-f04b6ef64640,Procedury ICD 9  - Kody listy kierunkowej,icd-9-procedures,https://api.nfz.gov.pl/app-stat-api-jgp/icd9-procedures/5221d56a-f7e3-fc36-eaa8-f04b6ef64640?format=json
