branch,hospital-types,product-category-code,product-category-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,value,value-percentage,name,catalog,year,period
,,6,przetoczenie preparatów krwi i innych substancji,1621,28.73,0,1666759.27,3.0,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2015,2015
,,5,pobyt w OAiIT,1616,28.64,0,51659537.05,92.87,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2015,2015
,,4,leczenie żywieniowe,156,2.76,0,416292.0,0.75,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2015,2015
,,0,pozostałe świadczenia,106,1.88,0,531363.84,0.96,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2015,2015
,,3,dializy,66,1.17,0,912600.0,1.64,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2015,2015
,,5,pobyt w OAiIT,73,14.04,0,2228848.44,95.35,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2015,2015
,,6,przetoczenie preparatów krwi i innych substancji,71,13.65,0,61021.48,2.61,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2015,2015
,,5,pobyt w OAiIT,1049,13.84,0,18377292.96,90.48,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,6,przetoczenie preparatów krwi i innych substancji,851,11.23,0,672808.8,3.31,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,11,konsylium,322,4.25,0,83715.0,0.41,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,4,leczenie żywieniowe,126,1.66,0,295561.44,1.46,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,0,pozostałe świadczenia,85,1.12,0,260197.64,1.28,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,5,pobyt w OAiIT,995,16.08,0,27715568.12,92.12,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,6,przetoczenie preparatów krwi i innych substancji,710,11.47,0,692039.93,2.3,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,11,konsylium,224,3.62,0,58240.0,0.19,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,4,leczenie żywieniowe,119,1.92,0,399170.4,1.33,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,0,pozostałe świadczenia,74,1.2,0,291876.48,0.97,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,6,przetoczenie preparatów krwi i innych substancji,144,7.27,0,149553.59,4.33,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,5,pobyt w OAiIT,121,6.11,0,3019198.0,87.4,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,4,leczenie żywieniowe,25,1.26,0,51230.0,1.48,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2015,2015
,,6,przetoczenie preparatów krwi i innych substancji,319,1.98,0,242721.26,8.71,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2015,2015
,,6,przetoczenie preparatów krwi i innych substancji,242,6.49,0,9234859.36,76.83,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2015,2015
,,0,pozostałe świadczenia,105,2.82,0,1153855.44,9.6,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2015,2015
,,6,przetoczenie preparatów krwi i innych substancji,649,4.17,0,17952670.74,77.22,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2015,2015
,,6,przetoczenie preparatów krwi i innych substancji,175,8.35,0,4120914.85,51.11,A32 CHOROBY MIĘŚNI,1a,2015,2015
,,0,pozostałe świadczenia,145,6.91,0,1498774.05,18.59,A32 CHOROBY MIĘŚNI,1a,2015,2015
,,5,pobyt w OAiIT,61,2.91,0,2055582.53,25.49,A32 CHOROBY MIĘŚNI,1a,2015,2015
,,0,pozostałe świadczenia,608,10.12,0,214904.8,21.03,A34C GUZY MÓZGU I RDZENIA KRĘGOWEGO,1a,2015,2015
,,6,przetoczenie preparatów krwi i innych substancji,85,1.42,0,92766.16,9.08,A34C GUZY MÓZGU I RDZENIA KRĘGOWEGO,1a,2015,2015
,,0,pozostałe świadczenia,318,2.65,0,146209.84,9.04,A34D GUZY MÓZGU I RDZENIA KRĘGOWEGO>3 DNI,1a,2015,2015
,,6,przetoczenie preparatów krwi i innych substancji,171,1.42,0,196944.25,12.18,A34D GUZY MÓZGU I RDZENIA KRĘGOWEGO>3 DNI,1a,2015,2015
