branch,hospital-types,contract-product-code,contract-product-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,4939,NEUROCHIRURGIA - HOSPITALIZACJA,4733,85.28,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
,,4907,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,620,11.17,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
,,4949,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,92,1.66,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
,,4944,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,62,1.12,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
,,4907,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,32,5.19,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
,,4949,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,13,2.11,6,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
,,4939,NEUROCHIRURGIA - HOSPITALIZACJA,483,78.28,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
,,4944,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,64,10.37,4,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
,,4911,CHIRURGIA DZIECIĘCA -  HOSPITALIZACJA,19,3.08,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
,,4943,NEUROCHIRURGIA - HOSPITALIZACJA - A03,282,100.0,5,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2012,2012
,,4939,NEUROCHIRURGIA - HOSPITALIZACJA,299,100.0,3,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2012,2012
,,4939,NEUROCHIRURGIA - HOSPITALIZACJA,6822,94.84,11,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4973,OTORYNOLARYNGOLOGIA - HOSPITALIZACJA,92,1.28,15,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4944,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,242,3.36,15,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4939,NEUROCHIRURGIA - HOSPITALIZACJA,5216,88.66,11,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4911,CHIRURGIA DZIECIĘCA -  HOSPITALIZACJA,124,2.11,7,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4944,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,474,8.06,10,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4939,NEUROCHIRURGIA - HOSPITALIZACJA,1028,60.79,7,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4911,CHIRURGIA DZIECIĘCA -  HOSPITALIZACJA,113,6.68,6,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4907,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,189,11.18,2,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4944,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,220,13.01,7,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4985,CHIRURGIA SZCZĘKOWO-TWARZOWA - HOSPITALIZACJA,32,1.89,4,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4949,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,73,4.32,2,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4973,OTORYNOLARYNGOLOGIA - HOSPITALIZACJA,27,1.6,7,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4985,CHIRURGIA SZCZĘKOWO-TWARZOWA - HOSPITALIZACJA,167,55.48,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4939,NEUROCHIRURGIA - HOSPITALIZACJA,75,24.92,6,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4986,CHIRURGIA SZCZĘKOWO-TWARZOWA - HOSPITALIZACJA PLANOWA,9,2.99,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4911,CHIRURGIA DZIECIĘCA -  HOSPITALIZACJA,7,2.33,3,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4944,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,10,3.32,3,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4949,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,8,2.66,1,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4951,ORTOPEDIA I TRAUMAT NARZ RUCHU - ZESPÓŁ CHIRURGII JEDNEGO DNIA,3,1.0,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4931,CHIRURGIA PLASTYCZNA - HOSPITALIZACJA,3,1.0,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4973,OTORYNOLARYNGOLOGIA - HOSPITALIZACJA,9,2.99,10,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4907,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,6,1.99,6,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4909,CHIRURGIA OGÓLNA -  ZESPÓŁ CHIRURGII JEDNEGO DNIA,4,1.33,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2012,2012
,,4939,NEUROCHIRURGIA - HOSPITALIZACJA,10855,79.32,7,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,4949,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,2263,16.54,6,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,4944,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,142,1.04,10,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,4950,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA PLANOWA,257,1.88,2,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,4940,NEUROCHIRURGIA  - HOSPITALIZACJA PLANOWA,137,1.0,2,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,4939,NEUROCHIRURGIA - HOSPITALIZACJA,2468,79.54,8,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,4949,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,206,6.64,4,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,4907,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,309,9.96,4,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,4950,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA PLANOWA,44,1.42,2,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,4908,CHIRURGIA OGÓLNA - HOSPITALIZACJA PLANOWA,73,2.35,3,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,4939,NEUROCHIRURGIA - HOSPITALIZACJA,10,100.0,9,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2012,2012
,,4907,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,1169,15.38,1,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,4949,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,3148,41.41,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,4939,NEUROCHIRURGIA - HOSPITALIZACJA,1394,18.34,1,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,4950,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA PLANOWA,570,7.5,0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,4951,ORTOPEDIA I TRAUMAT NARZ RUCHU - ZESPÓŁ CHIRURGII JEDNEGO DNIA,545,7.17,0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,4909,CHIRURGIA OGÓLNA -  ZESPÓŁ CHIRURGII JEDNEGO DNIA,129,1.7,0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,4908,CHIRURGIA OGÓLNA - HOSPITALIZACJA PLANOWA,298,3.92,0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,4931,CHIRURGIA PLASTYCZNA - HOSPITALIZACJA,192,2.53,1,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2012,2012
,,4939,NEUROCHIRURGIA - HOSPITALIZACJA,1093,66.36,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2012,2012
,,4907,CHIRURGIA OGÓLNA -  HOSPITALIZACJA,93,5.65,1,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2012,2012
,,4949,ORTOPEDIA I TRAUMAT NARZ RUCHU - HOSPITALIZACJA,262,15.91,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2012,2012
,,4944,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,73,4.43,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2012,2012
,,4909,CHIRURGIA OGÓLNA -  ZESPÓŁ CHIRURGII JEDNEGO DNIA,24,1.46,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2012,2012
,,4925,CHIRURGIA ONKOLOGICZNA - HOSPITALIZACJA,45,2.73,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2012,2012
