disease-code,disease-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
S06.5,Urazowy krwotok podtwardówkowy,4119,74.22,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
S06.4,Krwotok nadtwardówkowy,719,12.95,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
S06.3,Ogniskowy uraz mózgu,193,3.48,11,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
S06.2,Rozlany uraz mózgu,185,3.33,10,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
S06.8,Inne urazy śródczaszkowe,159,2.86,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2012,2012
T90.5,Następstwa urazu śródczaszkowego,341,55.27,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
S02.0,Złamanie kości sklepienia czaszki,121,19.61,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
S02.1,Złamanie kości podstawy czaszki,54,8.75,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
S09.8,Inne określone urazy głowy,49,7.94,4,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
S02.7,Wielokrotne złamania kości czaszki i twarzoczaszki,16,2.59,12,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
S07.1,Uraz zmiażdżeniowy czaszki,12,1.94,6,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
S09.9,Nieokreślony uraz głowy,10,1.62,5,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2012,2012
