branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,5738,5868,1.02,0.08,1.18,9,7,13277.89,300.69,7468.72,146.47,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,581,596,1.03,0.01,0.12,8,8,9295.73,202.16,6975.37,136.9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,178,251,1.41,0.0,0.05,4,4,47980.23,940.79,47940.0,940.0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2011,2011
,,269,281,1.04,0.0,0.06,4,2,32105.28,629.52,31875.0,625.0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2011,2011
,,7156,7366,1.03,0.1,1.49,11,8,17787.7,388.01,15354.71,301.08,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,5488,5775,1.05,0.08,1.17,12,8,14328.47,358.45,10271.41,201.41,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,1551,1649,1.06,0.02,0.33,7,2,8307.56,250.99,6194.61,121.5,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,321,329,1.02,0.0,0.07,2,2,1689.43,48.9,1578.16,30.96,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,12906,13196,1.02,0.18,2.66,7,8,11584.25,245.81,11416.21,223.85,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2011,2011
,,3467,3500,1.01,0.05,0.71,7,4,6594.06,140.11,6580.09,129.03,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2011,2011
,,5305,5627,1.06,0.08,1.14,2,0,4699.88,92.41,4697.4,92.36,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2011,2011
,,1104,1587,1.44,0.02,0.32,0,0,844.38,16.57,658.77,12.94,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2011,2011
,,2518,2578,1.02,0.04,0.52,9,8,9362.86,199.73,5604.77,109.9,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2011,2011
,,14353,15138,1.05,0.21,3.06,6,2,2539.36,55.75,1488.01,29.18,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2011,2011
,,1510,1867,1.24,0.03,0.38,6,2,7727.43,158.5,2961.77,58.08,A32 CHOROBY MIĘŚNI,1a,2011,2011
,,16942,17332,1.02,0.24,3.5,4,3,1683.89,33.19,1680.4,32.96,A33 ZABURZENIA RÓWNOWAGI,1a,2011,2011
,,14788,17131,1.16,0.24,3.46,6,2,4246.95,85.47,4150.33,81.38,A34 GUZY MÓZGU,1a,2011,2011
,,19713,21116,1.07,0.29,4.26,7,7,3547.4,72.89,3168.98,62.16,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2011,2011
,,11239,15138,1.35,0.21,3.06,5,4,3562.28,75.9,3412.22,66.91,A36 CHOROBY DEMIELINIZACYJNE,1a,2011,2011
,,25192,26765,1.06,0.37,5.4,6,3,3321.76,89.34,2989.13,58.65,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2011,2011
,,13564,13886,1.02,0.19,2.8,5,4,1874.59,38.05,1859.59,36.47,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2011,2011
,,33059,33533,1.01,0.47,6.77,6,4,3802.42,75.51,3789.67,74.31,A47 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU - ROZSZERZONA DIAGNOSTYKA,1a,2011,2011
,,41257,42319,1.03,0.59,8.54,10,8,8738.0,294.35,8420.04,165.11,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2011,2011
,,30857,31434,1.02,0.44,6.34,9,7,4295.08,141.4,4041.54,79.26,A49 UDAR MÓZGU - LECZENIE > 3 DNI,1a,2011,2011
,,16814,17194,1.02,0.24,3.47,4,1,2707.98,63.7,1932.05,37.89,A50 UDAR MÓZGU - LECZENIE,1a,2011,2011
,,2276,2285,1.0,0.03,0.51,11,8,13085.07,506.94,12457.7,244.27,A51 UDAR MÓZGU - LECZENIE TROMBOLITYCZNE > 7 DNI W ODDZIALE UDAROWYM,1a,2011,2011
,,3442,3526,1.02,0.05,0.71,6,7,1653.31,32.42,1625.07,31.87,A56 CHOROBY NERWÓW CZASZKOWYCH,1a,2011,2011
,,4727,5629,1.19,0.08,1.14,11,2,4980.13,111.66,3794.3,74.41,A57 CHOROBY ZAPALNE UKŁADU NERWOWEGO,1a,2011,2011
,,2031,2141,1.05,0.03,0.43,4,2,3314.67,72.94,2190.72,42.96,A58 ENCEFALOPATIA,1a,2011,2011
,,24939,25393,1.02,0.35,5.13,3,2,1357.73,27.22,1348.5,26.44,A59 BÓLE GŁOWY,1a,2011,2011
,,13126,14290,1.09,0.2,2.89,3,2,1007.14,22.25,815.73,16.0,A66 PADACZKA - DIAGNOSTYKA I LECZENIE,1a,2011,2011
,,11891,12188,1.02,0.17,2.46,6,4,4181.33,86.3,4022.69,78.88,A67 PADACZKA - DIAGNOSTYKA I LECZENIE > 3 DNI,1a,2011,2011
,,41345,42062,1.02,0.58,8.49,3,2,1834.26,37.19,1505.79,29.53,A76 URAZY GŁOWY Z ISTOTNYM USZKODZENIEM MÓZGU LECZONE ZACHOWAWCZO,1a,2011,2011
,,29136,29444,1.01,0.41,5.95,2,1,841.78,16.53,830.96,16.29,A77 URAZY GŁOWY BEZ ISTOTNEGO USZKODZENIA MÓZGU LECZONE ZACHOWAWCZO,1a,2011,2011
,,929,1064,1.15,0.01,0.21,7,8,6491.81,137.76,4162.3,81.61,A86 CHOROBY NEURONU RUCHOWEGO,1a,2011,2011
,,53297,55761,1.05,0.77,11.26,6,2,1754.87,48.25,1583.1,31.05,A87 INNE CHOROBY UKŁADU NERWOWEGO,1a,2011,2011
,,477,586,1.23,0.01,0.2,0,0,7038.0,138.0,7038.0,138.0,B01 LECZENIE WYSIĘKOWEJ POSTACI AMD WERTEPORFINĄ PRZY ZASTOSOWANIU TERAPII FOTODYNAMICZNEJ,1a,2011,2011
,,3837,10067,2.62,0.14,3.41,0,0,2904.26,57.0,2904.26,57.0,B02 LECZENIE WYSIĘKOWEJ POSTACI AMD Z ZASTOSOWANIEM INIEKCJI DOSZKLISTKOWYCH PRZECIWCIAŁA MONOKLONALNEGO ANTY-VEGF/ REKOMBINOWANEGO BIAŁKA FUZYJNEGO,1a,2011,2011
,,191,192,1.01,0.0,0.07,6,5,8772.53,172.01,8772.0,172.0,B04 PRZESZCZEP ROGÓWKI - KATEGORIA I *,1a,2011,2011
,,866,910,1.05,0.01,0.31,6,3,6949.11,136.26,6947.77,136.23,B05 PRZESZCZEP ROGÓWKI - KATEGORIA II *,1a,2011,2011
,,64,69,1.08,0.0,0.02,5,4,5610.0,110.0,5610.0,110.0,B06 PRZESZCZEP ROGÓWKI - KATEGORIA III *,1a,2011,2011
,,1813,2012,1.11,0.03,0.68,2,1,5464.61,107.33,5464.51,107.33,B11 KOMPLEKSOWE ZABIEGI W ZAĆMIE I JASKRZE *,1a,2011,2011
,,52642,56700,1.08,0.79,19.22,2,2,3508.66,69.12,3507.97,69.11,B12 USUNIĘCIE ZAĆMY POWIKŁANEJ METODĄ EMULSYFIKACJI Z JEDNOCZESNYM WSZCZEPIENIEM SOCZEWKI,1a,2011,2011
,,100514,108701,1.08,1.51,36.84,1,0,3003.39,59.3,3002.5,59.28,B13 USUNIĘCIE ZAĆMY NIEPOWIKŁANEJ METODĄ EMULSYFIKACJI Z JEDNOCZESNYM WSZCZEPIENIEM SOCZEWKI,1a,2011,2011
,,1978,2017,1.02,0.03,0.68,4,3,3208.75,62.93,3208.2,62.92,B14 USUNIĘCIE ZAĆMY POWIKŁANEJ METODAMI INNYMI NIŻ EMULSYFIKACJA Z JEDNOCZESNYM WSZCZEPIENIEM SOCZEWKI,1a,2011,2011
,,2712,2754,1.02,0.04,0.93,3,3,2442.47,47.92,2440.95,47.89,B15 USUNIĘCIE ZAĆMY NIEPOWIKŁANEJ METODAMI INNYMI NIŻ EMULSYFIKACJA Z JEDNOCZESNYM WSZCZEPIENIEM SOCZEWKI,1a,2011,2011
,,5655,6566,1.16,0.09,2.23,2,2,8189.99,161.21,8188.48,161.18,"B16 ZABIEGI Z WYKONANIEM WITREKTOMII Z UŻYCIEM OLEJU SILIKONOWEGO LUB DEKALINY, W TYM WIELOPROCEDURALNE *",1a,2011,2011
,,6163,6541,1.06,0.09,2.22,2,2,7018.56,138.25,7002.43,137.93,"B17 ZABIEGI Z WYKONANIEM WITREKTOMII, W TYM WIELOPROCEDURALNE *",1a,2011,2011
,,2490,2788,1.12,0.04,0.94,2,0,2221.2,44.77,2220.29,44.75,B23 ŚREDNIE ZABIEGI NA SOCZEWCE *,1a,2011,2011
,,4215,4506,1.07,0.06,1.53,0,0,590.69,11.6,590.69,11.6,B24 MAŁE ZABIEGI NA SOCZEWCE,1a,2011,2011
,,1440,1629,1.13,0.02,0.55,0,0,1959.44,38.6,1958.84,38.59,B32 DUŻE ZABIEGI NA APARACIE OCHRONNYM OKA *,1a,2011,2011
,,5717,6507,1.14,0.09,2.21,0,0,744.21,14.7,742.83,14.68,B33 ŚREDNIE ZABIEGI NA APARACIE OCHRONNYM OKA *,1a,2011,2011
,,10208,10888,1.07,0.15,3.69,0,0,255.93,5.04,246.1,4.84,B34 MAŁE ZABIEGI NA APARACIE OCHRONNYM OKA,1a,2011,2011
,,568,576,1.01,0.01,0.2,4,2,8453.56,165.8,8379.6,164.35,B42 DUŻE ZABIEGI NA OCZODOLE I APARACIE ŁZOWYM *,1a,2011,2011
,,2088,2255,1.08,0.03,0.76,1,0,2209.97,48.87,2201.42,43.33,B43 ŚREDNIE ZABIEGI NA OCZODOLE I APARACIE ŁZOWYM *,1a,2011,2011
,,4019,4395,1.09,0.06,1.49,0,0,636.63,12.49,596.69,11.7,B44 MAŁE ZABIEGI NA OCZODOLE I APARACIE ŁZOWYM,1a,2011,2011
,,1816,1939,1.07,0.03,0.66,3,2,1475.63,28.93,1474.25,28.91,B52 DUŻE ZABIEGI NA ROGÓWCE I TWARDÓWCE *,1a,2011,2011
,,2738,2922,1.07,0.04,0.99,0,0,1100.73,21.67,1100.64,21.67,B53 ŚREDNIE ZABIEGI NA ROGÓWCE I TWARDÓWCE *,1a,2011,2011
,,5402,5591,1.04,0.08,1.9,1,0,2206.52,43.94,2205.56,43.92,B63 ZABIEGI W ZAKRESIE MIĘŚNI OKORUCHOWYCH *,1a,2011,2011
,,2761,3075,1.11,0.04,1.04,4,2,4073.16,79.88,4060.93,79.64,B72 DUŻE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2011,2011
,,1045,1285,1.23,0.02,0.44,0,0,2626.58,52.19,2626.42,52.19,B73 ŚREDNIE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2011,2011
,,830,931,1.12,0.01,0.32,0,0,256.69,5.04,251.76,4.94,B74 MAŁE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2011,2011
,,1380,1413,1.02,0.02,0.48,4,2,5038.86,98.81,5012.11,98.28,B81 DUŻE ZABIEGI NA SIATKÓWCE *,1a,2011,2011
,,104,109,1.05,0.0,0.04,2,2,2413.38,47.32,2413.38,47.32,B82 DUŻE ZABIEGI NA CIELE SZKLISTYM,1a,2011,2011
,,1621,2466,1.52,0.03,0.84,0,0,1472.19,28.9,1471.03,28.88,B83 ŚREDNIE ZABIEGI WITREORETINALNE *,1a,2011,2011
,,4007,6849,1.71,0.1,2.32,0,0,795.56,15.6,790.11,15.5,B84 MAŁE ZABIEGI WITREORETINALNE *,1a,2011,2011
,,32202,37793,1.17,0.53,12.81,3,2,1735.19,34.08,1727.61,33.94,B98 LECZENIE ZACHOWAWCZE OKULISTYCZNE,1a,2011,2011
,,1049,1058,1.01,0.01,0.37,17,14,26563.81,520.86,25188.7,493.9,"C01 ROZLEGŁE OPERACJE NOWOTWORÓW JAMY USTNEJ, GARDŁA I KRTANI Z REKONSTRUKCJĄ *",1a,2011,2011
,,600,602,1.0,0.01,0.21,4,4,105343.42,2065.56,105183.43,2062.42,C05 LECZENIE ZABURZEŃ SŁUCHU ZA POMOCĄ IMPLANTÓW ŚLIMAKOWYCH I PNIOWYCH *,1a,2011,2011
